Endpoint,N_paired,mean_abs_true_diff_log10,A_MAE,F_MAE,delta_MAE_A_minus_F,delta_MAE_CI95_lo,delta_MAE_CI95_hi,wilcoxon_p_abs_err,A_RMSE,F_RMSE,delta_RMSE_A_minus_F,delta_MSE_A_minus_F,delta_MSE_CI95_lo,delta_MSE_CI95_hi,A_GMFE,F_GMFE,A_FE<2,F_FE<2,delta_FE<2_A_minus_F,delta_FE<2_CI95_lo,delta_FE<2_CI95_hi,mcnemar_p_FE<2,A_R2,F_R2,delta_R2_A_minus_F,delta_R2_CI95_lo,delta_R2_CI95_hi
Fu,633,0.0,0.3403877751729149,0.35090508610048876,-0.010517310927573853,-0.02790547555648892,0.006813859248986824,0.0951905196870235,0.4712126144001505,0.4607159169007297,0.010496697499420782,0.009782171884144819,-0.010273478057809107,0.03112381879578223,2.1897159165645426,2.2433915829624813,0.5813586097946287,0.5497630331753555,0.03159557661927326,-0.007938388625592457,0.06951026856240128,0.13524792193400165,0.6624597026222856,0.6773302550413509,-0.01487055241906532,-0.04720143909138745,0.015382518343048476
CL,177,0.0,0.2996823712108703,0.3061339872408475,-0.006451616029977181,-0.038043826656584526,0.023842382548178748,0.8985902313380083,0.40881823760205427,0.42235318407886324,-0.013534946476808973,-0.01124986070550446,-0.04728814382047532,0.022190942543574562,1.9938035788279387,2.0236434108217827,0.6497175141242938,0.6101694915254238,0.039548022598870025,-0.03389830508474567,0.10734463276836159,0.3240086000878364,0.5050807489213767,0.47176719479137297,0.0333135541300037,-0.07380087407349584,0.13016094866540293
VDss,177,0.0,0.2793331075477148,0.28367045960705667,-0.004337352059341881,-0.020626929748706033,0.012260953447685921,0.9988312147662305,0.35905526812510474,0.36639065243771324,-0.007335384312608495,-0.005321424625342325,-0.02036498408028062,0.008858682037752618,1.9025369824203036,1.9216330504022137,0.6440677966101694,0.5932203389830508,0.05084745762711862,-0.005649717514124353,0.11299435028248583,0.13604594767093658,0.5779926476207004,0.560573563110516,0.01741908451018437,-0.031595508149492614,0.06941707102465537
