Endpoint,N_paired,mean_abs_true_diff_log10,A_MAE,E_MAE,delta_MAE_A_minus_E,delta_MAE_CI95_lo,delta_MAE_CI95_hi,wilcoxon_p_abs_err,A_RMSE,E_RMSE,delta_RMSE_A_minus_E,delta_MSE_A_minus_E,delta_MSE_CI95_lo,delta_MSE_CI95_hi,A_GMFE,E_GMFE,A_FE<2,E_FE<2,delta_FE<2_A_minus_E,delta_FE<2_CI95_lo,delta_FE<2_CI95_hi,mcnemar_p_FE<2,A_R2,E_R2,delta_R2_A_minus_E,delta_R2_CI95_lo,delta_R2_CI95_hi
Fu,633,0.0,0.3403877751729149,0.3603875068325434,-0.019999731659628484,-0.03574973105986027,-0.004740754380829119,0.005347418565628968,0.4712126144001505,0.48675909332295464,-0.015546478922804141,-0.014893086962759955,-0.03405663941388466,0.004667743810159325,2.1897159165645426,2.2929126316188144,0.5813586097946287,0.5655608214849921,0.01579778830963663,-0.018957345971563958,0.048973143759873605,0.4264394964440241,0.6624597026222856,0.6398196966006799,0.022640006021605652,-0.007157727907695688,0.05219881266140408
CL,177,0.0,0.2996823712108703,0.3542339038926554,-0.054551532681785087,-0.0869160648075811,-0.022741658724815535,0.013632008291789652,0.40881823760205427,0.466844557096715,-0.05802631949466075,-0.05081148909477831,-0.08705722799213504,-0.01614808071096369,1.9938035788279387,2.2606529930678936,0.6497175141242938,0.536723163841808,0.11299435028248583,0.05084745762711862,0.1752824858757055,0.0011932429624721408,0.5050807489213767,0.35461565991305133,0.15046508900832534,0.04697555805246454,0.272867732486588
VDss,177,0.0,0.2793331075477148,0.3256303591016949,-0.04629725155398012,-0.07499723575052462,-0.016714623750433883,0.004303635098369438,0.35905526812510474,0.40825455255829873,-0.04919928443319399,-0.03775109411618585,-0.06357000074562545,-0.011397635350433425,1.9025369824203036,2.116558902411453,0.6440677966101694,0.5706214689265536,0.07344632768361581,-0.005649717514124353,0.15254237288135597,0.10478948242660335,0.5779926476207004,0.4544186904457518,0.12357395717494857,0.036205870903471014,0.21559283792939188
