Endpoint,N_paired,mean_abs_true_diff_log10,A_MAE,C_MAE,delta_MAE_A_minus_C,delta_MAE_CI95_lo,delta_MAE_CI95_hi,wilcoxon_p_abs_err,A_RMSE,C_RMSE,delta_RMSE_A_minus_C,delta_MSE_A_minus_C,delta_MSE_CI95_lo,delta_MSE_CI95_hi,A_GMFE,C_GMFE,A_FE<2,C_FE<2,delta_FE<2_A_minus_C,delta_FE<2_CI95_lo,delta_FE<2_CI95_hi,mcnemar_p_FE<2,A_R2,C_R2,delta_R2_A_minus_C,delta_R2_CI95_lo,delta_R2_CI95_hi
CL,177,0.0,0.2996823712108703,0.31841239083867184,-0.01873001962780152,-0.04694661434888888,0.007898951334704609,0.1421625538756055,0.40881823760205427,0.42784790976654746,-0.019029672164493194,-0.015921482495554085,-0.0431035871311819,0.009135123109335034,1.9938035788279387,2.081672432184151,0.6497175141242938,0.5932203389830508,0.05649717514124297,-0.011299435028248594,0.12429378531073443,0.14330665429588407,0.5050807489213767,0.45793339458248905,0.047147354338887615,-0.028497785353999112,0.12543071121938065
VDss,177,0.0,0.2793331075477148,0.2817734248120443,-0.002440317264329528,-0.029107477780957017,0.026875653823257253,0.6859920223163023,0.35905526812510474,0.3593135782193391,-0.0002583100942343819,-0.0001855619243942841,-0.022985786215241763,0.024580034903654024,1.9025369824203036,1.9132575016119604,0.6440677966101694,0.5932203389830508,0.05084745762711862,-0.022598870056497078,0.12429378531073443,0.23269319190831084,0.5779926476207004,0.5773852315487893,0.00060741607191106,-0.07996543245174056,0.07770213235529147
