compound_id,compound_name,pk_curve_id,Dose_mg_kg,Time_hr,Conc_ng_ml,pka acidic,pka basic,vd(l/kg),cl(l/hour/kg),fu,Trend_ID,PUBCHEM_CID,CAS #,CT_train_test,dataset,Conc_ng_ml_1mgkg
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.1964286,32.961,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.4196429,98.732,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.5089286,47.112,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.6875,24.268,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.8660714,20.299,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.9107143,59.272,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.9553571,28.283,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.9553571,32.961,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,4.9553571,39.407,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.0892857,48.329,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.0892857,17.418,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.4017857,82.584,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.4910714,29.014,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.5357143,39.407,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.5357143,16.551,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.5803571,21.914,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,5.8928571,43.64,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,6.2053571,18.33,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,7.9464286,24.896,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,8.5267857,12.824,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,8.75,25.539,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,8.7946429,42.541,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,8.7946429,19.788,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,8.8392857,31.322,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,9.0625,11.58,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,9.0625,13.844,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,9.1964286,23.657,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,9.2857143,18.33,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,9.6875,14.569,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,11.1607143,16.979,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,18.3928571,11.288,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,19.0178571,15.332,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,19.1071429,12.186,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,19.7321429,22.48,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,20.0446429,17.868,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,22.5892857,12.186,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,23.6160714,20.299,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,24.9553571,11.288,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
413,docetaxel,docetaxel 100mg/m^2 (iv line-1),57.80346821,25.1339286,12.501,11.9,,2.1,0.84,0.04,413,148124,114977-28-5,test,Simcyp+Trend,1
