pk_curve_id,Time_hr,compound_id,compound_name,Dose_mg_kg,Conc_ng_ml,pka acidic,pka basic,vd(l/kg),cl(l/hour/kg),fu,Trend_ID,PUBCHEM_CID,CAS #,CT_train_test,dataset,Conc_ng_ml_1mgkg,Conc_mgl
acetylsalicylic acid 897mg (iv line-1),0.0311918,25,acetylsalicylic acid,12.81428571,2404.4901,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,2.4044901
acetylsalicylic acid 897mg (iv line-1),0.0524237,25,acetylsalicylic acid,12.81428571,26506.8732,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,26.5068732
acetylsalicylic acid 897mg (iv line-1),0.095875,25,acetylsalicylic acid,12.81428571,63482.453,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,63.482453
acetylsalicylic acid 897mg (iv line-1),0.1475791,25,acetylsalicylic acid,12.81428571,51943.1879,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,51.9431879
acetylsalicylic acid 897mg (iv line-1),0.1894786,25,acetylsalicylic acid,12.81428571,35675.979,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,35.675979
acetylsalicylic acid 897mg (iv line-1),0.2872439,25,acetylsalicylic acid,12.81428571,26722.2978,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,26.7222978
acetylsalicylic acid 897mg (iv line-1),0.3477653,25,acetylsalicylic acid,12.81428571,20602.5938,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,20.6025938
acetylsalicylic acid 897mg (iv line-1),0.4362197,25,acetylsalicylic acid,12.81428571,16193.3536,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,16.1933536
acetylsalicylic acid 897mg (iv line-1),0.5200186,25,acetylsalicylic acid,12.81428571,12850.946,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,12.850946
acetylsalicylic acid 897mg (iv line-1),0.6922719,25,acetylsalicylic acid,12.81428571,10909.8128,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,10.9098128
acetylsalicylic acid 897mg (iv line-1),0.8552141,25,acetylsalicylic acid,12.81428571,6361.312,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,6.361312
acetylsalicylic acid 897mg (iv line-1),1.2509311,25,acetylsalicylic acid,12.81428571,2226.1571,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,2.2261571
acetylsalicylic acid 897mg (iv line-1),1.5116387,25,acetylsalicylic acid,12.81428571,1375.2625,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,1.3752625
acetylsalicylic acid 897mg (iv line-1),2.0004655,25,acetylsalicylic acid,12.81428571,485.93,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,0.48593
acetylsalicylic acid 898mg (iv iv),0.0871797,25,acetylsalicylic acid,12.82857143,10671.4541,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,10.6714541
acetylsalicylic acid 898mg (iv iv),0.1829062,25,acetylsalicylic acid,12.82857143,26407.221,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,26.407221
acetylsalicylic acid 898mg (iv iv),0.2547011,25,acetylsalicylic acid,12.82857143,37063.8219,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,37.0638219
acetylsalicylic acid 898mg (iv iv),0.323231,25,acetylsalicylic acid,12.82857143,43048.24,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,43.04824
acetylsalicylic acid 898mg (iv iv),0.4428891,25,acetylsalicylic acid,12.82857143,47218.0883,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,47.2180883
acetylsalicylic acid 898mg (iv iv),0.5625472,25,acetylsalicylic acid,12.82857143,50220.0337,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,50.2200337
acetylsalicylic acid 898mg (iv iv),0.6854703,25,acetylsalicylic acid,12.82857143,51701.2329,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,51.7012329
acetylsalicylic acid 898mg (iv iv),0.9247865,25,acetylsalicylic acid,12.82857143,50132.1696,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,50.1321696
acetylsalicylic acid 898mg (iv iv),1.1162395,25,acetylsalicylic acid,12.82857143,52991.7546,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,52.9917546
acetylsalicylic acid 898mg (iv iv),1.3555558,25,acetylsalicylic acid,12.82857143,50754.0029,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,50.7540029
acetylsalicylic acid 898mg (iv iv),1.6427353,25,acetylsalicylic acid,12.82857143,48610.7364,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,48.6107364
acetylsalicylic acid 898mg (iv iv),2.0735045,25,acetylsalicylic acid,12.82857143,46845.8367,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,46.8458367
acetylsalicylic acid 898mg (iv iv),2.6717951,25,acetylsalicylic acid,12.82857143,43774.934,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,43.774934
acetylsalicylic acid 898mg (iv iv),3.1264959,25,acetylsalicylic acid,12.82857143,41412.7147,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,41.4127147
acetylsalicylic acid 898mg (iv iv),4.1076925,25,acetylsalicylic acid,12.82857143,33583.0704,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,33.5830704
acetylsalicylic acid 898mg (iv iv),6.0940173,25,acetylsalicylic acid,12.82857143,25136.6675,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,25.1366675
acetylsalicylic acid 898mg (iv iv),8.0324788,25,acetylsalicylic acid,12.82857143,14703.4957,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,14.7034957
acetylsalicylic acid 898mg (iv iv),10.0188036,25,acetylsalicylic acid,12.82857143,7889.6421,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,7.8896421
acetylsalicylic acid 898mg (iv iv),12.0051284,25,acetylsalicylic acid,12.82857143,5484.3138,,,0.22,0.72,0.68,25,2244,50-78-2,test,Geci+Trend,1,5.4843138
adefovir 1mg/kg (iv 1mg/kg),0.4341085,31,adefovir,1,3620.3178,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,3.6203178
adefovir 1mg/kg (iv 1mg/kg),0.7507165,31,adefovir,1,2183.9737,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,2.1839737
adefovir 1mg/kg (iv 1mg/kg),0.9509044,31,adefovir,1,1417.2158,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,1.4172158
adefovir 1mg/kg (iv 1mg/kg),1.4808258,31,adefovir,1,863.18,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.86318
adefovir 1mg/kg (iv 1mg/kg),1.9844961,31,adefovir,1,610.8,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.6108
adefovir 1mg/kg (iv 1mg/kg),2.9600188,31,adefovir,1,382,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.382
adefovir 1mg/kg (iv 1mg/kg),4.0103359,31,adefovir,1,192.57,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.19257
adefovir 1mg/kg (iv 1mg/kg),6.0155039,31,adefovir,1,35.77,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.03577
adefovir 3.0mg/kg (iv 3.0 mg/kg),0.2067183,31,adefovir,3,7629.6831,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,7.6296831
adefovir 3.0mg/kg (iv 3.0 mg/kg),0.4547804,31,adefovir,3,9940.0599,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,9.9400599
adefovir 3.0mg/kg (iv 3.0 mg/kg),0.7235142,31,adefovir,3,6765.3022,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,6.7653022
adefovir 3.0mg/kg (iv 3.0 mg/kg),0.9715762,31,adefovir,3,4604.531,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,4.604531
adefovir 3.0mg/kg (iv 3.0 mg/kg),1.4677003,31,adefovir,3,2778.8442,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,2.7788442
adefovir 3.0mg/kg (iv 3.0 mg/kg),1.9844961,31,adefovir,3,1937.342,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,1.937342
adefovir 3.0mg/kg (iv 3.0 mg/kg),2.9560724,31,adefovir,3,1141.409,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,1.141409
adefovir 3.0mg/kg (iv 3.0 mg/kg),3.9896641,31,adefovir,3,672.48,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.67248
adefovir 3.0mg/kg (iv 3.0 mg/kg),5.994832,31,adefovir,3,311.51,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.31151
adefovir 3.0mg/kg (iv 3.0 mg/kg),7.9793282,31,adefovir,3,127.95,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.12795
adefovir 3mg/kg (iv intravenous),0.2416107,31,adefovir,3,7882.9487,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,7.8829487
adefovir 3mg/kg (iv intravenous),0.4832215,31,adefovir,3,10061.1819,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,10.0611819
adefovir 3mg/kg (iv intravenous),0.704698,31,adefovir,3,5900.1208,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,5.9001208
adefovir 3mg/kg (iv intravenous),0.9865772,31,adefovir,3,4029.9346,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,4.0299346
adefovir 3mg/kg (iv intravenous),1.4697987,31,adefovir,3,2363.2513,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,2.3632513
adefovir 3mg/kg (iv intravenous),2.0134228,31,adefovir,3,1638.9643,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,1.6389643
adefovir 3mg/kg (iv intravenous),3.0201342,31,adefovir,3,850.75,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.85075
adefovir 3mg/kg (iv intravenous),4.0067114,31,adefovir,3,538.43,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.53843
adefovir 3mg/kg (iv intravenous),6,31,adefovir,3,188.01,1.35,3.75,0.42,0.222,0.96,31,60172,106941-25-7,test,Geci+Trend,1,0.18801
allopurinol 300mg (i.v. after i.v.),0.1749178,45,allopurinol,4.285714286,7346.0047,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,7.3460047
allopurinol 300mg (i.v. after i.v.),0.2330821,45,allopurinol,4.285714286,5220.1718,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,5.2201718
allopurinol 300mg (i.v. after i.v.),0.3261451,45,allopurinol,4.285714286,4666.6153,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,4.6666153
allopurinol 300mg (i.v. after i.v.),0.4075752,45,allopurinol,4.285714286,3769.4067,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.7694067
allopurinol 300mg (i.v. after i.v.),0.5471697,45,allopurinol,4.285714286,3316.1602,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.3161602
allopurinol 300mg (i.v. after i.v.),0.8147258,45,allopurinol,4.285714286,2622.0055,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.6220055
allopurinol 300mg (i.v. after i.v.),1.0603086,45,allopurinol,4.285714286,2172.5071,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.1725071
allopurinol 300mg (i.v. after i.v.),1.2821087,45,allopurinol,4.285714286,2008.1955,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.0081955
allopurinol 300mg (i.v. after i.v.),1.5744815,45,allopurinol,4.285714286,1797.1606,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.7971606
allopurinol 300mg (i.v. after i.v.),2.0361775,45,allopurinol,4.285714286,1046.8843,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.0468843
allopurinol 300mg (i.v. after i.v.),2.5131253,45,allopurinol,4.285714286,617.16,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.61716
allopurinol 300mg (i.v. after i.v.),3.009461,45,allopurinol,4.285714286,308.06,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.30806
allopurinol 300mg (i.v. after i.v.),3.0262641,45,allopurinol,4.285714286,1070.4451,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.0704451
allopurinol 300mg (i.v. after i.v.),3.5198533,45,allopurinol,4.285714286,208.5,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.2085
allopurinol 300mg (iv subject 1),0.0033,45,allopurinol,4.285714286,16531.0904,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,16.5310904
allopurinol 300mg (iv subject 1),0.0169602,45,allopurinol,4.285714286,12504.5797,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,12.5045797
allopurinol 300mg (iv subject 1),0.0717548,45,allopurinol,4.285714286,7476.3978,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,7.4763978
allopurinol 300mg (iv subject 1),0.1539465,45,allopurinol,4.285714286,5160.0451,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,5.1600451
allopurinol 300mg (iv subject 1),0.2322244,45,allopurinol,4.285714286,3647.5739,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.6475739
allopurinol 300mg (iv subject 1),0.3261579,45,allopurinol,4.285714286,3826.3377,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.8263377
allopurinol 300mg (iv subject 1),0.4944554,45,allopurinol,4.285714286,3314.7112,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.3147112
allopurinol 300mg (iv subject 1),0.7371168,45,allopurinol,4.285714286,2672.6322,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.6726322
allopurinol 300mg (iv subject 1),1.0032616,45,allopurinol,4.285714286,2343.1295,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.3431295
allopurinol 300mg (iv subject 1),1.2459231,45,allopurinol,4.285714286,2054.251,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.054251
allopurinol 300mg (iv subject 1),1.4964123,45,allopurinol,4.285714286,1822.6589,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.8226589
allopurinol 300mg (iv subject 1),1.9973908,45,allopurinol,4.285714286,1143.1626,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.1431626
allopurinol 300mg (iv subject 1),2.4905415,45,allopurinol,4.285714286,675.36,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.67536
allopurinol 300mg (iv subject 2),0.0080809,45,allopurinol,4.285714286,18417.9123,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,18.4179123
allopurinol 300mg (iv subject 2),0.0130719,45,allopurinol,4.285714286,14772.5205,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,14.7725205
allopurinol 300mg (iv subject 2),0.0601308,45,allopurinol,4.285714286,6081.8807,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,6.0818807
allopurinol 300mg (iv subject 2),0.1424837,45,allopurinol,4.285714286,4244.1224,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,4.2441224
allopurinol 300mg (iv subject 2),0.2326798,45,allopurinol,4.285714286,3545.3809,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.5453809
allopurinol 300mg (iv subject 2),0.3111112,45,allopurinol,4.285714286,3259.9024,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.2599024
allopurinol 300mg (iv subject 2),0.4836602,45,allopurinol,4.285714286,2415.4397,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.4154397
allopurinol 300mg (iv subject 2),0.7424837,45,allopurinol,4.285714286,2017.7679,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.0177679
allopurinol 300mg (iv subject 2),0.985621,45,allopurinol,4.285714286,1768.3963,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.7683963
allopurinol 300mg (iv subject 2),1.2326798,45,allopurinol,4.285714286,1477.252,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.477252
allopurinol 300mg (iv subject 2),1.4836602,45,allopurinol,4.285714286,1234.041,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.234041
allopurinol 300mg (iv subject 2),1.9895425,45,allopurinol,4.285714286,782.37,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.78237
allopurinol 300mg (iv subject 2),2.4915033,45,allopurinol,4.285714286,514.19,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.51419
allopurinol 300mg (iv subject 3),0.0091683,45,allopurinol,4.285714286,21692.2699,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,21.6922699
allopurinol 300mg (iv subject 3),0.0563196,45,allopurinol,4.285714286,14397.7457,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,14.3977457
allopurinol 300mg (iv subject 3),0.1388344,45,allopurinol,4.285714286,8997.1715,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,8.9971715
allopurinol 300mg (iv subject 3),0.2292076,45,allopurinol,4.285714286,6984.8712,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,6.9848712
allopurinol 300mg (iv subject 3),0.3235102,45,allopurinol,4.285714286,5622.3451,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,5.6223451
allopurinol 300mg (iv subject 3),0.4806811,45,allopurinol,4.285714286,4983.8103,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,4.9838103
allopurinol 300mg (iv subject 3),0.7400131,45,allopurinol,4.285714286,4011.6284,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,4.0116284
allopurinol 300mg (iv subject 3),0.9914866,45,allopurinol,4.285714286,3077.0702,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.0770702
allopurinol 300mg (iv subject 3),1.2429601,45,allopurinol,4.285714286,2331.9466,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.3319466
allopurinol 300mg (iv subject 3),1.4944336,45,allopurinol,4.285714286,1663.8788,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.6638788
allopurinol 300mg (iv subject 3),1.9934513,45,allopurinol,4.285714286,857.36,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.85736
allopurinol 300mg (iv subject 3),2.5121153,45,allopurinol,4.285714286,382.28,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.38228
allopurinol 300mg (iv subject 4),0.0246914,45,allopurinol,4.285714286,19230.6295,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,19.2306295
allopurinol 300mg (iv subject 4),0.071475,45,allopurinol,4.285714286,11746.1164,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,11.7461164
allopurinol 300mg (iv subject 4),0.1533464,45,allopurinol,4.285714286,5778.3028,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,5.7783028
allopurinol 300mg (iv subject 4),0.2391163,45,allopurinol,4.285714286,3932.7696,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.9327696
allopurinol 300mg (iv subject 4),0.3170891,45,allopurinol,4.285714286,3748.0968,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.7480968
allopurinol 300mg (iv subject 4),0.4847304,45,allopurinol,4.285714286,3055.1877,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.0551877
allopurinol 300mg (iv subject 4),0.745939,45,allopurinol,4.285714286,3129.5493,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.1295493
allopurinol 300mg (iv subject 4),0.9993503,45,allopurinol,4.285714286,2130.0019,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.1300019
allopurinol 300mg (iv subject 4),1.2332684,45,allopurinol,4.285714286,2054.5381,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.0545381
allopurinol 300mg (iv subject 4),1.4866797,45,allopurinol,4.285714286,1484.9848,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.4849848
allopurinol 300mg (iv subject 4),1.9974009,45,allopurinol,4.285714286,640.01,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.64001
allopurinol 300mg (iv subject 5),0.0091683,45,allopurinol,4.285714286,18770.5803,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,18.7705803
allopurinol 300mg (iv subject 5),0.0681074,45,allopurinol,4.285714286,10149.9055,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,10.1499055
allopurinol 300mg (iv subject 5),0.150842,45,allopurinol,4.285714286,6322.3524,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,6.3223524
allopurinol 300mg (iv subject 5),0.2370662,45,allopurinol,4.285714286,5105.4344,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,5.1054344
allopurinol 300mg (iv subject 5),0.3235102,45,allopurinol,4.285714286,3869.1351,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,3.8691351
allopurinol 300mg (iv subject 5),0.5003275,45,allopurinol,4.285714286,2694.9195,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.6949195
allopurinol 300mg (iv subject 5),0.7360839,45,allopurinol,4.285714286,2276.3938,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.2763938
allopurinol 300mg (iv subject 5),0.9993452,45,allopurinol,4.285714286,1877.058,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.877058
allopurinol 300mg (iv subject 5),1.2390308,45,allopurinol,4.285714286,1604.7778,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.6047778
allopurinol 300mg (iv subject 5),1.4944336,45,allopurinol,4.285714286,1065.1344,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.0651344
allopurinol 300mg (iv subject 5),1.9934513,45,allopurinol,4.285714286,529.35,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.52935
allopurinol 300mg (iv subject 6),0.0087426,45,allopurinol,4.285714286,11160.2211,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,11.1602211
allopurinol 300mg (iv subject 6),0.0102814,45,allopurinol,4.285714286,23555.8023,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,23.5558023
allopurinol 300mg (iv subject 6),0.0165551,45,allopurinol,4.285714286,6205.1874,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,6.2051874
allopurinol 300mg (iv subject 6),0.1493676,45,allopurinol,4.285714286,4767.624,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,4.767624
allopurinol 300mg (iv subject 6),0.2313989,45,allopurinol,4.285714286,2988.1899,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.9881899
allopurinol 300mg (iv subject 6),0.3251489,45,allopurinol,4.285714286,2214.8688,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,2.2148688
allopurinol 300mg (iv subject 6),0.4813989,45,allopurinol,4.285714286,1941.4294,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.9414294
allopurinol 300mg (iv subject 6),0.7392114,45,allopurinol,4.285714286,1785.2733,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.7852733
allopurinol 300mg (iv subject 6),0.9892114,45,allopurinol,4.285714286,1404.9362,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.4049362
allopurinol 300mg (iv subject 6),1.2392114,45,allopurinol,4.285714286,1016.6971,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,1.0166971
allopurinol 300mg (iv subject 6),1.4813989,45,allopurinol,4.285714286,880.57,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.88057
allopurinol 300mg (iv subject 6),1.9892114,45,allopurinol,4.285714286,434.33,8.47,1.25,0.58,0.66,0.97,45,135401907,315-30-0,test,Geci+Trend,1,0.43433
alprazolam 1mg (iv line-1),0.2018692,52,alprazolam,0.014285714,22.606383,,5.01,0.8,0.0444,0.29,52,2118,28981-97-7,test,Geci+Simcyp+Trend,1,0.022606383
alprazolam 1mg (iv line-1),0.4037383,52,alprazolam,0.014285714,21.0638298,,5.01,0.8,0.0444,0.29,52,2118,28981-97-7,test,Geci+Simcyp+Trend,1,0.02106383
alprazolam 1mg (iv line-1),0.7401869,52,alprazolam,0.014285714,17.8723404,,5.01,0.8,0.0444,0.29,52,2118,28981-97-7,test,Geci+Simcyp+Trend,1,0.01787234
