compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold
52,-3.051891858950388,3.051891858950388,-2.05976506295266,2.05976506295266,-3.085526385446962,3.085526385446962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,1.0,0.0,0.6428571428571429,1.0,1.0
172,0.6167640096261032,0.9038683186006228,-0.1284534742958199,0.1284534742958199,0.24688964009812586,0.24688964009812586,0.0,0.6666666666666666,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,-0.5676955706968625,0.8069954405854272,-2.3475130756985,2.3475130756985,-0.4941643749471224,0.4941643749471224,0.0,0.7647058823529411,0.0,1.0,0.9411764705882353,0.0,1.0,0.9411764705882353,0.0,1.0,1.0,1.0,1.0
184,-0.35941646679703754,0.6832912489914225,0.5032678890248744,0.5032678890248744,-0.5291330222984028,0.5291330222984028,-0.18925379999999997,0.7333333333333333,1.0,1.0,0.8666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,0.3294169967483685,0.44232176764421466,0.7684420509855011,0.7684420509855011,0.15695175419106602,0.15695175419106602,0.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
308,-0.8822707405792424,0.9272852986437131,-3.2111302770435066,3.2111302770435066,-0.4067915925594237,0.4067915925594237,0.0,0.6923076923076923,0.0,1.0,0.8461538461538461,0.0,1.0,0.9230769230769231,0.0,1.0,1.0,1.0,1.0
323,1.6693257697148454,1.7900644916937,-0.06990316038342523,0.06990316038342523,2.440827871029743,2.440827871029743,-1.2857143,0.2857142857142857,1.0,0.0,0.5714285714285714,1.0,0.0,0.7857142857142857,1.0,0.0,0.9285714285714286,1.0,1.0
332,-1.5990178505880523,1.5990178505880523,-0.97565307424189,0.97565307424189,-1.4385811750419546,1.4385811750419546,0.0,0.3888888888888889,1.0,0.0,0.5,1.0,1.0,0.9444444444444444,1.0,1.0,0.9444444444444444,1.0,1.0
366,1.0741591186885298,1.0741591186885298,3.0818756771119573,3.0818756771119573,0.6499910056563818,0.6499910056563818,0.2774994,0.5,0.0,1.0,0.75,0.0,1.0,0.9166666666666666,0.0,1.0,1.0,1.0,1.0
394,0.769753005629412,0.9559405968209067,1.1742463233297564,1.1742463233297564,0.8908290928069045,0.8908290928069045,0.0,0.4375,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
413,-2.4103029941258547,4.23623308976876,-0.19658710536812823,0.19658710536812823,0.6670895177774379,0.6670895177774379,0.0,0.26666666666666666,1.0,1.0,0.43333333333333335,1.0,1.0,0.5333333333333333,1.0,1.0,0.65,1.0,1.0
471,-0.7364026910924435,0.8948929989965863,0.6339612316165714,0.6339612316165714,-0.5034050251217955,0.5034050251217955,0.0,0.75,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
488,-3.2399780090308536,3.8125999911381183,2.0439544339165674,2.0439544339165674,-0.7747002627077403,0.7747002627077403,0.0,0.1111111111111111,0.0,1.0,0.2777777777777778,0.0,1.0,0.4444444444444444,1.0,1.0,0.5,1.0,1.0
637,0.6950192165889953,0.6950192165889953,0.05192415761748376,0.05192415761748376,0.5860429605277336,0.5860429605277336,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,0.8735942547707998,0.8837825900449421,0.7455944175442113,0.7455944175442113,0.8608009672888806,0.8608009672888806,-0.6611569999999999,0.5714285714285714,1.0,1.0,0.8571428571428571,1.0,1.0,0.9285714285714286,1.0,1.0,1.0,1.0,1.0
703,-1.0429741939528838,2.562569474987847,1.8717330094849927,1.8717330094849927,0.815547974974226,0.815547974974226,-0.05542730000000001,0.23529411764705882,0.0,1.0,0.47058823529411764,0.0,1.0,0.6470588235294118,1.0,1.0,0.7647058823529411,1.0,1.0
739,-0.8160118168010795,0.8160118168010795,-0.6817626678446349,0.6817626678446349,-0.9731239298951682,0.9731239298951682,-0.1002012,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
781,-0.09800251285151751,1.3212798218629014,-1.6211210979542843,1.6211210979542843,-0.7010019716049838,0.7010019716049838,0.0,0.3125,0.0,1.0,0.6875,0.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0
787,-5.9697972720877965,5.9697972720877965,-1.3426613432983265,1.3426613432983265,-2.238556010549803,2.238556010549803,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.45454545454545453,1.0,1.0,0.5454545454545454,1.0,1.0
800,1.0101763830427237,1.0101763830427237,1.8493523967394614,1.8493523967394614,0.8326417732561445,0.8326417732561445,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
811,-1.1305465062949829,1.3486333238077133,-1.7704484016952506,1.7704484016952506,-1.1863700333291745,1.1863700333291745,0.0,0.3076923076923077,0.0,0.0,0.46153846153846156,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
832,-0.660810375243586,2.2551277121591156,-2.3537586939771726,2.3537586939771726,-1.5085607886539554,1.5085607886539554,-0.09469699999999999,0.2,0.0,0.0,0.4666666666666667,0.0,1.0,0.8,0.0,1.0,0.9333333333333333,1.0,1.0
875,-6.938662096308424,7.188116788922103,1.017213216400101,1.017213216400101,-1.3473111767858386,1.3473111767858386,0.0,0.13333333333333333,0.0,0.0,0.2,1.0,1.0,0.26666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0
907,-0.49119455982711346,0.6755849630070907,-0.9668473144589874,0.9668473144589874,-0.6994485145454298,0.6994485145454298,0.0,0.84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
938,2.1221778874083617,2.1221778874083617,2.580926663001377,2.580926663001377,1.9743573757879824,1.9743573757879824,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0,0.6842105263157895,0.0,1.0,1.0,1.0,1.0
963,0.9802861593467846,1.4373975096096836,2.2771970705514293,2.2771970705514293,1.5751356139861545,1.5751356139861545,0.0,0.375,0.0,0.0,0.5,0.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
967,-0.20628037798049273,0.45166762352942835,0.22357004938952463,0.22357004938952463,-0.4884219664591069,0.4884219664591069,0.0,0.9090909090909091,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
973,-0.6737198715177092,0.8260244569609346,-0.17288239204898778,0.17288239204898778,-0.9787731202744065,0.9787731202744065,0.0,0.7333333333333333,1.0,1.0,0.8,1.0,1.0,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,1.0
1001,1.1861781041437702,1.1861781041437702,1.449394760508619,1.449394760508619,1.1123653708855366,1.1123653708855366,0.0,0.3333333333333333,0.0,0.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1009,0.27398882224233934,0.800893450088225,-0.04533807513384907,0.04533807513384907,0.7369928944763079,0.7369928944763079,0.0,0.625,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1018,-1.7940928280156523,1.7940928280156523,-0.4475274951861725,0.4475274951861725,-1.4396536076611228,1.4396536076611228,0.0,0.2857142857142857,1.0,0.0,0.42857142857142855,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,1.0,1.0
1041,0.22246927709690134,0.7156945621218664,0.7262515713941801,0.7262515713941801,0.21169105529888654,0.21169105529888654,0.0,0.8333333333333334,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1094,-2.8469180342327647,3.222081784431213,0.4670585704480157,0.4670585704480157,-1.662060683764872,1.662060683764872,-0.5825302,0.2222222222222222,1.0,0.0,0.2222222222222222,1.0,0.0,0.4444444444444444,1.0,1.0,0.6666666666666666,1.0,1.0
1095,-8.97358849709689,10.736132827351579,1.8017280118317953,1.8017280118317953,1.658857893723704,1.658857893723704,0.6469003,0.05263157894736842,0.0,0.0,0.13157894736842105,0.0,0.0,0.42105263157894735,1.0,1.0,0.5789473684210527,1.0,1.0
1197,-0.4309120560092403,1.3128256574520465,-0.037434044739103195,0.037434044739103195,0.28281705831704373,0.28281705831704373,0.0,0.8181818181818182,1.0,1.0,0.8181818181818182,1.0,1.0,0.9090909090909091,1.0,1.0,0.9090909090909091,1.0,1.0
1245,0.13642740781128268,0.3737870022558377,-0.6575264740793288,0.6575264740793288,0.03971169367312891,0.03971169367312891,0.49817980000000006,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1293,-2.6809315895720474,2.6809315895720474,-2.7073802964301854,2.7073802964301854,-2.4882270595224822,2.4882270595224822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.8333333333333334,1.0,1.0
1300,1.5686652941259522,1.5686652941259522,1.5069095432919248,1.5069095432919248,1.6259216392934934,1.6259216392934934,0.0,0.16666666666666666,0.0,0.0,0.4666666666666667,1.0,0.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0
1319,1.8089411000229099,1.8590428472024683,0.4203210174025703,0.4203210174025703,2.159896999546717,2.159896999546717,0.4973415,0.4375,1.0,0.0,0.5,1.0,0.0,0.5625,1.0,1.0,0.75,1.0,1.0
1323,-2.081750840911676,2.5021653077420325,-0.9883042716637719,0.9883042716637719,-1.6855082480387855,1.6855082480387855,0.0,0.1875,1.0,0.0,0.4375,1.0,0.0,0.5625,1.0,1.0,0.6875,1.0,1.0
1341,2.3264913101370155,2.3264913101370155,1.4409399049140263,1.4409399049140263,2.20991148995006,2.20991148995006,-0.06967260000000008,0.0,0.0,0.0,0.23529411764705882,1.0,0.0,0.47058823529411764,1.0,1.0,0.9411764705882353,1.0,1.0
