compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold
52,0.22026059180003374,0.23147975683622318,-0.07853415525332612,0.07853415525332612,0.2934447230203014,0.2934447230203014,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172,0.2936630532709051,0.3112481644757991,-0.10551066722936438,0.10551066722936438,0.1997598532525347,0.1997598532525347,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,-0.5193676501360462,0.8046621388971738,-2.584482654043042,2.584482654043042,-0.3850878689313583,0.3850878689313583,0.0,0.7647058823529411,0.0,1.0,0.8823529411764706,0.0,1.0,0.9411764705882353,0.0,1.0,1.0,1.0,1.0
184,0.3380387672740673,0.37288022903148194,0.3294788695058843,0.3294788695058843,0.27704926729861057,0.27704926729861057,-0.18925379999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,0.3534799213696165,0.5344384189017347,-0.18996871544460797,0.18996871544460797,0.26583945589821495,0.26583945589821495,0.0,0.9090909090909091,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
308,1.222770953854078,1.4626827161159264,-1.3880560211093915,1.3880560211093915,1.8360715603859714,1.8360715603859714,0.0,0.23076923076923078,0.0,0.0,0.6153846153846154,1.0,0.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0
323,-0.17045153843281022,0.5290778467633156,-1.0239980067253933,1.0239980067253933,-0.005578125777322497,0.005578125777322497,-1.2857143,0.8461538461538461,0.0,1.0,0.8461538461538461,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
332,-0.5229696542218435,0.8232961566686234,-0.900275533619679,0.900275533619679,0.19622476345329298,0.19622476345329298,0.0,0.7777777777777778,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0
366,0.7386573569129834,0.8025374673320322,2.6687517712488886,2.6687517712488886,0.30995019892475406,0.30995019892475406,0.2774994,0.6666666666666666,0.0,1.0,0.9166666666666666,0.0,1.0,0.9166666666666666,0.0,1.0,1.0,1.0,1.0
394,-0.815689251977277,0.8380347954995656,-2.040754872128534,2.040754872128534,-0.6824138599193708,0.6824138599193708,0.0,0.625,0.0,1.0,0.8125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
413,1.2556025846763395,1.6271598802081664,-1.2951237790922678,1.2951237790922678,0.13782894337481716,0.13782894337481716,0.0,0.2833333333333333,0.0,1.0,0.55,1.0,1.0,0.7333333333333333,1.0,1.0,0.9833333333333333,1.0,1.0
471,-0.5913714169289436,0.7466675660059132,-0.4949246664375179,0.4949246664375179,-0.4133276371252787,0.4133276371252787,0.0,0.75,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
488,0.6175836824772509,0.7498706364882476,-0.38948955397426605,0.38948955397426605,0.7493700537577399,0.7493700537577399,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.9444444444444444,1.0,1.0
637,0.47578313048629833,0.5436484785598693,-0.3053940663310692,0.3053940663310692,0.37091693588880204,0.37091693588880204,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,0.34582283233413147,1.0706314758387268,-1.4624510212961734,1.4624510212961734,0.6809451413833051,0.6809451413833051,0.0,0.6428571428571429,0.0,1.0,0.8571428571428571,1.0,1.0,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,1.0
703,1.100498803106864,1.100498803106864,0.34098288010893846,0.34098288010893846,1.0517593982245985,1.0517593982245985,-0.05542730000000001,0.4117647058823529,1.0,0.0,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
739,-0.06213714424955197,0.20036066016488227,-1.082222045245705,1.082222045245705,0.035610697134301636,0.035610697134301636,-0.1002012,0.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
781,-0.08436467669232985,0.3532100034419195,-0.3888981284649728,0.3888981284649728,0.12493933834251897,0.12493933834251897,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
787,-1.783578600099282,1.783578600099282,-1.1161060200609365,1.1161060200609365,-1.1198498576304592,1.1198498576304592,0.0,0.45454545454545453,0.0,0.0,0.6363636363636364,1.0,1.0,0.6363636363636364,1.0,1.0,0.9090909090909091,1.0,1.0
800,0.5709587550280186,0.5709587550280186,0.06723155401987421,0.06723155401987421,0.7166281314141026,0.7166281314141026,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
811,0.46386382453659575,0.7600551043383323,-0.721221041606479,0.721221041606479,0.487623903201025,0.487623903201025,0.0,0.7692307692307693,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
832,0.4420635229520154,1.2999977337559463,-1.5252008491758338,1.5252008491758338,-0.2821572112347074,0.2821572112347074,-0.09469699999999999,0.7333333333333333,0.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0
875,0.4140982481531335,0.4140982481531335,0.07097765335683962,0.07097765335683962,0.4423768856009228,0.4423768856009228,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
907,-0.11402704351061482,0.37613971652539313,-0.241171432152415,0.241171432152415,-0.25357439715549346,0.25357439715549346,0.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
938,0.012534626781157196,0.48897828261724213,-1.5816008463349998,1.5816008463349998,0.13330223896336585,0.13330223896336585,0.3077496,0.9473684210526315,0.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
963,0.2044307525543635,0.261805645662238,-0.22949957243149816,0.22949957243149816,0.22256118875651545,0.22256118875651545,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
967,0.06762184963318257,0.07585850522819236,-0.02803440965508555,0.02803440965508555,0.11096355927528832,0.11096355927528832,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
973,0.45025011221790456,0.4507657520467549,-0.0038672987163777444,0.0038672987163777444,0.5165568271698174,0.5165568271698174,0.0,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1001,0.3859363657387532,0.4622649809720072,0.8819940513607211,0.8819940513607211,0.2666749568487658,0.2666749568487658,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1009,0.45732750826057644,0.6456617443254592,-0.753336944259531,0.753336944259531,0.4809535351951515,0.4809535351951515,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1018,0.01920962807125859,0.0653038618540616,-0.07124742142709503,0.07124742142709503,0.03614702344978672,0.03614702344978672,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1041,-0.10223950174831467,0.4501947591676843,-0.20703603186606184,0.20703603186606184,-0.018029163947286805,0.018029163947286805,0.12578619999999985,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1094,0.41045359997328723,0.41045359997328723,0.2556532519239274,0.2556532519239274,0.3113573310045147,0.3113573310045147,-0.5825302,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1095,0.48553713690917166,1.317413840586024,-0.0995457308153613,0.0995457308153613,0.43180798358109396,0.43180798358109396,1.0781671,0.34210526315789475,1.0,1.0,0.6842105263157895,1.0,1.0,0.9210526315789473,1.0,1.0,0.9473684210526315,1.0,1.0
1197,0.22785748172350087,0.8254109327413953,-1.4914329825932444,1.4914329825932444,0.10917448029092311,0.10917448029092311,0.0,0.5454545454545454,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1245,0.6120780493170523,0.7986915065210406,-0.4450306288773162,0.4450306288773162,0.493455509771246,0.493455509771246,0.49817980000000006,0.6428571428571429,1.0,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1293,-1.3581324212657682,1.660318889601138,-3.422726984021827,3.422726984021827,-1.1104434567298018,1.1104434567298018,0.0,0.3333333333333333,0.0,0.0,0.5,0.0,1.0,0.6666666666666666,0.0,1.0,0.9166666666666666,0.0,1.0
1300,0.9787398976191952,0.9939656443702255,-0.2283862012654544,0.2283862012654544,1.0547387003095743,1.0547387003095743,0.0,0.6,1.0,0.0,0.7666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1319,0.16773594978552692,0.46302100685000763,-0.07928057291690338,0.07928057291690338,0.15994144089513318,0.15994144089513318,0.4973415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1323,0.4867553682023039,0.8036635101383967,-0.9973764594402761,0.9973764594402761,0.29415940618490266,0.29415940618490266,0.0,0.75,1.0,1.0,0.875,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0
1341,0.24062294795135816,0.4378968285875357,-0.25352619054506187,0.25352619054506187,0.19661982624745347,0.19661982624745347,-0.06967260000000008,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
