compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold
52,0.05791647487256638,0.10118623566468632,-0.191359855063901,0.191359855063901,0.0919469554345,0.0919469554345,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172,0.6913658393525123,0.6913658393525123,0.19921582446029057,0.19921582446029057,0.5823880738107642,0.5823880738107642,0.0,0.8333333333333334,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,-0.503832484097448,0.7808459270376195,-1.0697497546229207,1.0697497546229207,-0.3794905027815012,0.3794905027815012,0.0,0.6470588235294118,0.0,1.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
184,0.1782206717710557,0.8285551624842988,0.2140370911954863,0.2140370911954863,0.5216203309843276,0.5216203309843276,0.2825746,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0
295,0.0007231064633195834,0.34071362776226194,-0.6076479672250726,0.6076479672250726,-0.029771150866020935,0.029771150866020935,0.0,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
308,0.8671031944123885,1.1101353414734094,-1.400780843776714,1.400780843776714,1.2113330009673102,1.2113330009673102,0.0,0.3076923076923077,0.0,0.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
323,-0.232592060856999,0.3357527382018086,-1.0284528266022679,1.0284528266022679,-0.1958605366208446,0.1958605366208446,-1.2857143,0.9166666666666666,0.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
332,0.021399704836203542,0.21667452303707907,-0.007279247367770468,0.007279247367770468,0.1345153396909967,0.1345153396909967,0.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
366,-0.3840125518064063,0.6690773176147865,-1.0680902310234757,1.0680902310234757,0.19382089870227281,0.19382089870227281,0.7575758,0.75,0.0,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0
394,-1.5247445352391427,1.5247445352391427,-1.2261598642639355,1.2261598642639355,-1.5188914098358541,1.5188914098358541,0.0,0.0,0.0,0.0,0.4375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
413,0.8343889397039154,1.1798701973449943,-1.4507749070058866,1.4507749070058866,-0.2058378242262301,0.2058378242262301,0.0,0.4666666666666667,0.0,1.0,0.7,1.0,1.0,0.9,1.0,1.0,1.0,1.0,1.0
471,-1.3178171815647153,1.3299444253028738,-0.3594296127347494,0.3594296127347494,-0.7529180846245402,0.7529180846245402,0.0,0.5,1.0,1.0,0.625,1.0,1.0,0.75,1.0,1.0,0.875,1.0,1.0
488,0.49680656763017694,0.6537324003911696,-0.4550724516986551,0.4550724516986551,0.6412027999684968,0.6412027999684968,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.9444444444444444,1.0,1.0
637,-0.1493740118574106,0.5316245342995368,-0.5839903897143973,0.5839903897143973,-0.2578683437255543,0.2578683437255543,0.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,-0.8917745369705143,1.7364002033806556,-0.22169001532410065,0.22169001532410065,-0.09330016116776878,0.09330016116776878,0.0,0.5714285714285714,1.0,1.0,0.6428571428571429,1.0,1.0,0.7857142857142857,1.0,1.0,0.8571428571428571,1.0,1.0
703,1.593606706727856,1.593606706727856,0.8422976970088444,0.8422976970088444,1.4713206460621249,1.4713206460621249,-0.05542730000000001,0.17647058823529413,1.0,0.0,0.6470588235294118,1.0,1.0,0.7647058823529411,1.0,1.0,1.0,1.0,1.0
739,0.3058395130763426,0.306551578805941,0.35442460350784927,0.35442460350784927,0.14954752244602085,0.14954752244602085,-0.1002012,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
781,0.11204157263769152,0.25967362406453454,-0.24418420498081284,0.24418420498081284,0.07547981241010714,0.07547981241010714,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
787,-3.2922522406893506,3.2922522406893506,-1.2840259398798581,1.2840259398798581,-1.4107713001003674,1.4107713001003674,0.0,0.2727272727272727,0.0,0.0,0.5454545454545454,1.0,1.0,0.6363636363636364,1.0,1.0,0.6363636363636364,1.0,1.0
800,0.5204521117859423,0.561139584670519,-0.18309362798059547,0.18309362798059547,0.67269758043083,0.67269758043083,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
811,0.14137673894101982,0.19900698297183692,-0.1186861175518294,0.1186861175518294,0.09603628673171599,0.09603628673171599,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
832,0.3574510320175327,1.5500093575537972,-0.13414497172214387,0.13414497172214387,-0.38238642627865616,0.38238642627865616,-0.09469699999999999,0.7333333333333333,1.0,1.0,0.8666666666666667,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0
875,0.2996820176756016,0.32480618452835525,0.8470086139306942,0.8470086139306942,0.3791944630561242,0.3791944630561242,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
907,-0.8520243689800779,0.8838666317106694,-1.033923215601173,1.033923215601173,-0.9705410034175315,0.9705410034175315,0.0,0.64,0.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
938,0.5418396488298164,0.7838363382609898,-1.2359856691770592,1.2359856691770592,0.8054084434236517,0.8054084434236517,0.3077496,0.7894736842105263,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
963,0.7355440836859664,0.821450941914507,-0.34362743291416215,0.34362743291416215,0.7274062186476543,0.7274062186476543,0.0,0.75,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
