compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold
52,0.22026059180003374,0.23147975683622318,-0.07853415525332612,0.07853415525332612,0.2934447230203014,0.2934447230203014,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
172,0.32069860286045115,0.3218568155746207,-0.006949276285016861,0.006949276285016861,0.20801883309342667,0.20801883309342667,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
177,-0.2687453225314465,0.9656209111103614,-3.1051939255382064,3.1051939255382064,0.09246891201124993,0.09246891201124993,0.0,0.6470588235294118,0.0,1.0,0.8235294117647058,0.0,1.0,0.9411764705882353,0.0,1.0,1.0,1.0,1.0
184,0.4552097529990931,0.4552097529990931,0.38725343703515425,0.38725343703515425,0.3944636769850303,0.3944636769850303,-0.18925379999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,0.35347997391356195,0.53443847144568,-0.1899687154446067,0.1899687154446067,0.2658394725237345,0.2658394725237345,0.0,0.9090909090909091,1.0,1.0,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
308,1.467160599338346,1.638554460485603,-1.1140600974571677,1.1140600974571677,2.0056081470434,2.0056081470434,0.0,0.15384615384615385,0.0,0.0,0.46153846153846156,1.0,0.0,0.8461538461538461,1.0,1.0,1.0,1.0,1.0
323,0.6424857249491615,1.3023668366582206,-1.3441099013493265,1.3441099013493265,1.6406486463279482,1.6406486463279482,142.2,0.6428571428571429,0.0,0.0,0.7142857142857143,1.0,0.0,0.8571428571428571,1.0,1.0,0.9285714285714286,1.0,1.0
332,-0.5229696542218435,0.8232961566686234,-0.900275533619679,0.900275533619679,0.19622476345329298,0.19622476345329298,0.0,0.7777777777777778,1.0,1.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0
366,0.04233376683694303,0.6745338201036901,-0.39658060397198774,0.39658060397198774,0.3611474936892379,0.3611474936892379,0.7575758,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0,0.9166666666666666,1.0,1.0
394,-0.815689251977277,0.8380347954995656,-2.040754872128534,2.040754872128534,-0.6824138599193708,0.6824138599193708,0.0,0.625,0.0,1.0,0.8125,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
413,1.6400854152529505,2.136709786346235,-2.0190347272656513,2.0190347272656513,0.4026222523142514,0.4026222523142514,0.44642859999999995,0.18333333333333332,0.0,1.0,0.3333333333333333,0.0,1.0,0.5833333333333334,1.0,1.0,0.8166666666666667,1.0,1.0
471,-0.5913714169289436,0.7466675660059132,-0.4949246664375179,0.4949246664375179,-0.4133276371252787,0.4133276371252787,0.0,0.75,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
488,0.7606529938968437,0.894057147117264,-0.6655498986382522,0.6655498986382522,1.0027087757710142,1.0027087757710142,0.0,0.8888888888888888,1.0,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,0.9444444444444444,1.0,1.0
637,0.47578313048629833,0.5436484785598693,-0.3053940663310692,0.3053940663310692,0.37091693588880204,0.37091693588880204,0.0,0.8888888888888888,1.0,1.0,0.8888888888888888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
674,0.34582283233413147,1.0706314758387268,-1.4624510212961734,1.4624510212961734,0.6809451413833051,0.6809451413833051,0.0,0.6428571428571429,0.0,1.0,0.8571428571428571,1.0,1.0,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,1.0
703,1.1071442901752686,1.1071442901752686,0.4956798985945678,0.4956798985945678,1.0441514054779553,1.0441514054779553,-0.05542730000000001,0.35294117647058826,1.0,0.0,0.8823529411764706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
739,-0.06213714424955197,0.20036066016488227,-1.082222045245705,1.082222045245705,0.035610697134301636,0.035610697134301636,-0.1002012,0.9,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
781,-0.17043589670271111,0.29705885933408016,-0.2522822103799025,0.2522822103799025,0.013971239192962389,0.013971239192962389,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
787,-1.783578600099282,1.783578600099282,-1.1161060200609365,1.1161060200609365,-1.1198498576304592,1.1198498576304592,0.0,0.45454545454545453,0.0,0.0,0.6363636363636364,1.0,1.0,0.6363636363636364,1.0,1.0,0.9090909090909091,1.0,1.0
800,0.5709587550280186,0.5709587550280186,0.06723155401987421,0.06723155401987421,0.7166281314141026,0.7166281314141026,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
811,0.46386382453659575,0.7600551043383323,-0.721221041606479,0.721221041606479,0.487623903201025,0.487623903201025,0.0,0.7692307692307693,1.0,1.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
832,0.4420635229520154,1.2999977337559463,-1.5252008491758338,1.5252008491758338,-0.2821572112347074,0.2821572112347074,-0.09469699999999999,0.7333333333333333,0.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,1.0
875,0.4140982481531335,0.4140982481531335,0.07097765335683962,0.07097765335683962,0.4423768856009228,0.4423768856009228,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
907,-0.11402704351061482,0.37613971652539313,-0.241171432152415,0.241171432152415,-0.25357439715549346,0.25357439715549346,0.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
938,0.012534626781157196,0.48897828261724213,-1.5816008463349998,1.5816008463349998,0.13330223896336585,0.13330223896336585,0.3077496,0.9473684210526315,0.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
963,0.20443074330562888,0.2618056364135034,-0.22949957243149816,0.22949957243149816,0.22256119113443576,0.22256119113443576,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
