compound_id,rel_log2,abs_log2,fe_cmax_rel,fe_cmax_abs,fe_auc_rel,fe_auc_abs,delta_tmax,time_within_2fold,cmax_within_2fold,auc_within_2fold,time_within_3fold,cmax_within_3fold,auc_within_3fold,time_within_5fold,cmax_within_5fold,auc_within_5fold,time_within_10fold,cmax_within_10fold,auc_within_10fold
52,-1.9400989014326366,1.9400989014326366,-1.2688031721727013,1.2688031721727013,-1.858198335857091,1.858198335857091,0.0,0.07142857142857142,0.0,0.0,0.2857142857142857,1.0,0.0,0.7142857142857143,1.0,1.0,1.0,1.0,1.0
172,0.2741820424737143,1.067221881717263,0.6661885483707037,0.6661885483707037,0.29740065746146854,0.29740065746146854,0.0,0.4166666666666667,1.0,1.0,0.8333333333333334,1.0,1.0,0.9166666666666666,1.0,1.0,1.0,1.0,1.0
177,-0.5179126603072562,0.792137337479217,-2.5165184659293556,2.5165184659293556,-0.39873912619982255,0.39873912619982255,0.0,0.7647058823529411,0.0,1.0,0.8823529411764706,0.0,1.0,0.9411764705882353,0.0,1.0,1.0,1.0,1.0
184,0.19727115182304944,0.22312107535804976,0.40897954030432543,0.40897954030432543,0.14999077539923644,0.14999077539923644,-0.18925379999999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
295,-0.7907431197079666,1.6717342587345583,1.3637348643682314,1.3637348643682314,0.29995554447139816,0.29995554447139816,0.0,0.2727272727272727,0.0,1.0,0.6363636363636364,1.0,1.0,0.7272727272727273,1.0,1.0,0.9090909090909091,1.0,1.0
308,1.0832611788796274,1.3950856364061992,-1.6236579892978402,1.6236579892978402,1.7682750855686142,1.7682750855686142,0.0,0.3076923076923077,0.0,0.0,0.5384615384615384,0.0,0.0,0.9230769230769231,1.0,1.0,1.0,1.0,1.0
323,0.7433664174588577,1.0101185993601314,-0.6425448824213073,0.6425448824213073,1.5111878525387794,1.5111878525387794,-1.2857143,0.7857142857142857,1.0,0.0,0.8571428571428571,1.0,1.0,0.9285714285714286,1.0,1.0,0.9285714285714286,1.0,1.0
332,-0.015632742669683723,0.23900933589987042,-0.12168477114427743,0.12168477114427743,0.16436460780443035,0.16436460780443035,0.0,0.9411764705882353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
366,1.0311716237181883,1.7511638952256294,3.2905011625113283,3.2905011625113283,0.6814677194348369,0.6814677194348369,0.2774994,0.16666666666666666,0.0,1.0,0.4166666666666667,0.0,1.0,0.75,0.0,1.0,0.9166666666666666,1.0,1.0
394,0.7436757733592896,0.8415381507566477,1.039451274862103,1.039451274862103,0.8196749250074249,0.8196749250074249,0.0,0.5,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
