compound_id,rel_log2_A,abs_log2_A,fe_cmax_rel_A,fe_cmax_abs_A,fe_auc_rel_A,fe_auc_abs_A,delta_tmax_A,time_within_2fold_A,cmax_within_2fold_A,auc_within_2fold_A,time_within_3fold_A,cmax_within_3fold_A,auc_within_3fold_A,time_within_5fold_A,cmax_within_5fold_A,auc_within_5fold_A,time_within_10fold_A,cmax_within_10fold_A,auc_within_10fold_A,scenario_A,rel_log2_B,abs_log2_B,fe_cmax_rel_B,fe_cmax_abs_B,fe_auc_rel_B,fe_auc_abs_B,delta_tmax_B,time_within_2fold_B,cmax_within_2fold_B,auc_within_2fold_B,time_within_3fold_B,cmax_within_3fold_B,auc_within_3fold_B,time_within_5fold_B,cmax_within_5fold_B,auc_within_5fold_B,time_within_10fold_B,cmax_within_10fold_B,auc_within_10fold_B,scenario_B,good_auc_A,good_auc_B,good_cmax_A,good_cmax_B,good_A,good_B,delta_abs_log2_B_minus_A,delta_auc_abs_B_minus_A,delta_cmax_abs_B_minus_A,class
413,0.8344,1.1799,-1.4508,1.4508,-0.2058,0.2058,0.0000,0.4667,0.0000,1.0000,0.7000,1.0000,1.0000,0.9000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,1.6401,2.1367,-2.0190,2.0190,0.4026,0.4026,0.4464,0.1833,0.0000,1.0000,0.3333,0.0000,1.0000,0.5833,1.0000,1.0000,0.8167,1.0000,1.0000,v1_control_minimal,True,True,False,False,False,False,0.9568,0.1968,0.5683,Refinement
471,-1.3178,1.3299,-0.3594,0.3594,-0.7529,0.7529,0.0000,0.5000,1.0000,1.0000,0.6250,1.0000,1.0000,0.7500,1.0000,1.0000,0.8750,1.0000,1.0000,v0_baseline_simcyp,-0.5914,0.7467,-0.4949,0.4949,-0.4133,0.4133,0.0000,0.7500,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,-0.5833,-0.3396,0.1355,Both acceptable
488,0.4968,0.6537,-0.4551,0.4551,0.6412,0.6412,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,v0_baseline_simcyp,0.7607,0.8941,-0.6655,0.6655,1.0027,1.0027,0.0000,0.8889,1.0000,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,v1_control_minimal,True,False,True,True,True,False,0.2403,0.3615,0.2105,Prefer v0_baseline_simcyp
637,-0.1494,0.5316,-0.5840,0.5840,-0.2579,0.2579,0.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.4758,0.5436,-0.3054,0.3054,0.3709,0.3709,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.0120,0.1130,-0.2786,Both acceptable
674,-0.8918,1.7364,-0.2217,0.2217,-0.0933,0.0933,0.0000,0.5714,1.0000,1.0000,0.6429,1.0000,1.0000,0.7857,1.0000,1.0000,0.8571,1.0000,1.0000,v0_baseline_simcyp,0.3458,1.0706,-1.4625,1.4625,0.6809,0.6809,0.0000,0.6429,0.0000,1.0000,0.8571,1.0000,1.0000,0.9286,1.0000,1.0000,0.9286,1.0000,1.0000,v1_control_minimal,True,True,True,False,True,False,-0.6658,0.5876,1.2408,Prefer v0_baseline_simcyp
703,1.5936,1.5936,0.8423,0.8423,1.4713,1.4713,-0.0554,0.1765,1.0000,0.0000,0.6471,1.0000,1.0000,0.7647,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,1.1071,1.1071,0.4957,0.4957,1.0442,1.0442,-0.0554,0.3529,1.0000,0.0000,0.8824,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,False,False,True,True,False,False,-0.4865,-0.4272,-0.3466,Refinement
739,0.3058,0.3066,0.3544,0.3544,0.1495,0.1495,-0.1002,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.0621,0.2004,-1.0822,1.0822,0.0356,0.0356,-0.1002,0.9000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,False,True,False,-0.1062,-0.1139,0.7278,Prefer v0_baseline_simcyp
781,0.1120,0.2597,-0.2442,0.2442,0.0755,0.0755,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,-0.1704,0.2971,-0.2523,0.2523,0.0140,0.0140,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.0374,-0.0615,0.0081,Both acceptable
787,-3.2923,3.2923,-1.2840,1.2840,-1.4108,1.4108,0.0000,0.2727,0.0000,0.0000,0.5455,1.0000,1.0000,0.6364,1.0000,1.0000,0.6364,1.0000,1.0000,v0_baseline_simcyp,-1.7836,1.7836,-1.1161,1.1161,-1.1198,1.1198,0.0000,0.4545,0.0000,0.0000,0.6364,1.0000,1.0000,0.6364,1.0000,1.0000,0.9091,1.0000,1.0000,v1_control_minimal,False,False,False,False,False,False,-1.5087,-0.2909,-0.1679,Refinement
800,0.5205,0.5611,-0.1831,0.1831,0.6727,0.6727,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v0_baseline_simcyp,0.5710,0.5710,0.0672,0.0672,0.7166,0.7166,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v1_control_minimal,True,True,True,True,True,True,0.0098,0.0439,-0.1159,Both acceptable
