scenario,rel_log2_mean,rel_log2_median,rel_log2_std,abs_log2_mean,abs_log2_median,abs_log2_std,fe_cmax_rel_mean,fe_cmax_rel_median,fe_cmax_rel_std,fe_cmax_abs_mean,fe_cmax_abs_median,fe_cmax_abs_std,fe_auc_rel_mean,fe_auc_rel_median,fe_auc_rel_std,fe_auc_abs_mean,fe_auc_abs_median,fe_auc_abs_std,delta_tmax_mean,delta_tmax_median,delta_tmax_std,time_within_2fold_mean,time_within_3fold_mean,time_within_5fold_mean,time_within_10fold_mean,cmax_within_2fold_mean,cmax_within_3fold_mean,cmax_within_5fold_mean,cmax_within_10fold_mean,auc_within_2fold_mean,auc_within_3fold_mean,auc_within_5fold_mean,auc_within_10fold_mean,rk_abslog2,rk_fe_auc,rk_fe_cmax,rk_time2,rk_auc2,rk_cmax2,rank_score
v0_baseline_simcyp,-0.028,0.112,0.831,0.755,0.637,0.599,-0.352,-0.284,0.715,0.612,0.455,0.504,0.068,0.096,0.643,0.472,0.283,0.435,0.023,0.000,0.303,0.767,0.891,0.956,0.978,0.756,0.976,0.976,1.000,0.878,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,6.000
v1_control_minimal,0.237,0.351,0.681,0.782,0.747,0.476,-0.673,-0.397,0.893,0.778,0.495,0.801,0.303,0.294,0.644,0.522,0.371,0.480,3.553,0.000,22.196,0.749,0.884,0.947,0.982,0.707,0.902,0.951,0.976,0.805,0.927,1.000,1.000,2.000,2.000,3.000,2.000,2.000,2.000,13.000
v2_CLint,0.020,0.280,1.082,1.052,0.893,0.719,-0.691,-0.468,0.860,0.760,0.468,0.798,0.217,0.218,0.912,0.716,0.621,0.596,3.577,0.000,22.193,0.659,0.802,0.889,0.937,0.683,0.878,0.951,0.976,0.756,0.902,0.976,1.000,3.000,3.000,2.000,3.000,3.000,3.500,17.500
v3_CLsys,0.189,0.296,1.299,1.276,1.035,0.782,-0.627,-0.442,1.189,0.952,0.678,0.943,0.279,0.462,1.306,1.082,0.891,0.766,3.600,0.000,22.191,0.526,0.699,0.850,0.951,0.683,0.805,0.854,0.976,0.610,0.780,0.927,1.000,5.000,5.000,4.000,4.000,4.000,3.500,25.500
v4_ML,0.066,-0.057,1.261,1.322,1.032,0.739,-1.024,-0.784,1.382,1.300,0.910,1.118,0.169,0.274,1.369,1.072,0.792,0.851,3.610,0.000,22.189,0.511,0.667,0.826,0.956,0.561,0.683,0.805,0.951,0.585,0.756,0.927,0.976,4.000,4.000,5.000,5.000,5.000,5.000,28.000
