compound_id,rel_log2_A,abs_log2_A,fe_cmax_rel_A,fe_cmax_abs_A,fe_auc_rel_A,fe_auc_abs_A,delta_tmax_A,time_within_2fold_A,cmax_within_2fold_A,auc_within_2fold_A,time_within_3fold_A,cmax_within_3fold_A,auc_within_3fold_A,time_within_5fold_A,cmax_within_5fold_A,auc_within_5fold_A,time_within_10fold_A,cmax_within_10fold_A,auc_within_10fold_A,scenario_A,rel_log2_B,abs_log2_B,fe_cmax_rel_B,fe_cmax_abs_B,fe_auc_rel_B,fe_auc_abs_B,delta_tmax_B,time_within_2fold_B,cmax_within_2fold_B,auc_within_2fold_B,time_within_3fold_B,cmax_within_3fold_B,auc_within_3fold_B,time_within_5fold_B,cmax_within_5fold_B,auc_within_5fold_B,time_within_10fold_B,cmax_within_10fold_B,auc_within_10fold_B,scenario_B,good_auc_A,good_auc_B,good_cmax_A,good_cmax_B,good_A,good_B,delta_abs_log2_B_minus_A,delta_auc_abs_B_minus_A,delta_cmax_abs_B_minus_A,class
413,1.0860,2.0280,-2.0453,2.0453,0.0949,0.0949,0.4464,0.2000,0.0000,1.0000,0.4000,0.0000,1.0000,0.5500,1.0000,1.0000,0.8667,1.0000,1.0000,v2_CLint,2.3830,2.6857,-2.4797,2.4797,0.9223,0.9223,0.4464,0.1000,0.0000,1.0000,0.2000,0.0000,1.0000,0.3833,0.0000,1.0000,0.6333,1.0000,1.0000,v3_CLsys,True,True,False,False,False,False,0.6577,0.8275,0.4344,Refinement
471,-1.8644,1.8644,-0.5362,0.5362,-1.2284,1.2284,0.0000,0.5000,1.0000,0.0000,0.5000,1.0000,1.0000,0.6250,1.0000,1.0000,0.7500,1.0000,1.0000,v2_CLint,-0.6230,0.6230,-1.7365,1.7365,-0.6928,0.6928,1.9366,0.8750,0.0000,1.0000,0.8750,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,False,True,True,False,False,False,-1.2414,-0.5357,1.2004,Refinement
488,0.8275,0.9529,-0.6445,0.6445,1.0373,1.0373,0.0000,0.8333,1.0000,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,v2_CLint,0.2361,0.9918,0.0272,0.0272,0.8909,0.8909,0.0000,0.7778,1.0000,1.0000,0.8333,1.0000,1.0000,0.8889,1.0000,1.0000,0.9444,1.0000,1.0000,v3_CLsys,False,True,True,True,False,True,0.0390,-0.1464,-0.6173,Prefer v3_CLsys
637,0.2968,0.3659,-0.3111,0.3111,0.2050,0.2050,0.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.9103,0.9103,0.2913,0.2913,0.8129,0.8129,0.0000,0.8889,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.5444,0.6078,-0.0197,Both acceptable
674,-0.4236,1.0360,-1.4926,1.4926,-0.0391,0.0391,0.0000,0.6429,0.0000,1.0000,0.7143,1.0000,1.0000,0.9286,1.0000,1.0000,0.9286,1.0000,1.0000,v2_CLint,1.1867,1.2561,0.4057,0.4057,1.4214,1.4214,0.0000,0.4286,1.0000,0.0000,0.7857,1.0000,1.0000,0.9286,1.0000,1.0000,0.9286,1.0000,1.0000,v3_CLsys,True,False,False,True,False,False,0.2201,1.3823,-1.0868,Refinement
703,0.5246,0.6228,0.3496,0.3496,0.5784,0.5784,-0.0554,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.8842,1.0345,-0.6865,0.6865,0.8481,0.8481,-0.0554,0.6471,1.0000,1.0000,0.7647,1.0000,1.0000,0.8235,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.4117,0.2697,0.3369,Both acceptable
739,-0.0017,0.2465,-1.0960,1.0960,0.1833,0.1833,-0.1002,0.9000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.1650,0.4385,-0.7508,0.7508,-0.4302,0.4302,-0.1002,0.9000,1.0000,1.0000,0.9500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,False,True,False,True,0.1920,0.2469,-0.3452,Prefer v3_CLsys
781,-2.2762,2.2762,-0.4679,0.4679,-0.7719,0.7719,0.0000,0.4375,1.0000,1.0000,0.5000,1.0000,1.0000,0.5625,1.0000,1.0000,0.6875,1.0000,1.0000,v2_CLint,0.2555,0.5918,-0.8656,0.8656,0.0418,0.0418,0.0000,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,-1.6843,-0.7301,0.3976,Both acceptable
787,-1.8359,1.8359,-1.0434,1.0434,-0.9319,0.9319,0.0000,0.4545,0.0000,1.0000,0.6364,1.0000,1.0000,0.6364,1.0000,1.0000,0.8182,1.0000,1.0000,v2_CLint,-3.6903,3.6903,-1.3403,1.3403,-2.0496,2.0496,0.0000,0.0000,0.0000,0.0000,0.2727,1.0000,0.0000,0.5455,1.0000,1.0000,0.5455,1.0000,1.0000,v3_CLsys,True,False,False,False,False,False,1.8544,1.1178,0.2969,Refinement
800,0.8217,0.8217,0.0624,0.0624,0.9738,0.9738,0.0000,0.4444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.8132,0.8132,0.1222,0.1222,0.9657,0.9657,0.0000,0.7778,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,-0.0085,-0.0081,0.0598,Both acceptable
811,-0.2731,0.2947,-0.7650,0.7650,-0.2566,0.2566,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.6615,1.0702,-0.9295,0.9295,0.7711,0.7711,0.0000,0.6154,1.0000,1.0000,0.7692,1.0000,1.0000,0.9231,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.7755,0.5145,0.1646,Both acceptable
832,0.2694,1.4353,-1.5263,1.5263,-0.4775,0.4775,-0.0947,0.7333,0.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,0.9333,1.0000,1.0000,v2_CLint,-0.6978,2.2636,-2.5677,2.5677,-1.4318,1.4318,-0.0947,0.0000,0.0000,0.0000,0.6000,0.0000,1.0000,0.8000,0.0000,1.0000,0.9333,1.0000,1.0000,v3_CLsys,True,False,False,False,False,False,0.8283,0.9543,1.0414,Refinement
875,-0.2192,0.4348,0.0139,0.0139,-0.0556,0.0556,0.0000,0.8667,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.5174,0.5174,-0.4418,0.4418,-0.4027,0.4027,0.0000,0.8000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.0826,0.3471,0.4278,Both acceptable
907,-1.5370,1.5370,-0.4607,0.4607,-1.1484,1.1484,0.0000,0.2800,1.0000,0.0000,0.6000,1.0000,1.0000,0.8400,1.0000,1.0000,0.9600,1.0000,1.0000,v2_CLint,-0.3485,0.4980,-0.3521,0.3521,-0.4538,0.4538,0.0000,0.9600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,False,True,True,True,False,True,-1.0390,-0.6946,-0.1086,Prefer v3_CLsys
938,0.1850,0.5561,-1.5853,1.5853,0.4186,0.4186,0.3077,0.9474,0.0000,1.0000,0.9474,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,2.0167,2.0167,0.4532,0.4532,2.1234,2.1234,0.3077,0.0526,1.0000,0.0000,0.2105,1.0000,0.0000,0.5789,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,False,False,True,False,False,1.4606,1.7048,-1.1321,Refinement
963,0.9467,0.9646,-0.0716,0.0716,0.9318,0.9318,0.0000,0.5000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,1.5697,1.5697,0.5452,0.5452,1.5516,1.5516,0.0000,0.2500,1.0000,0.0000,0.5000,1.0000,1.0000,0.8750,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,False,True,True,True,False,0.6051,0.6198,0.4736,Prefer v2_CLint
967,0.1016,0.1766,-0.3088,0.3088,0.2180,0.2180,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.2265,0.4493,0.0787,0.0787,-0.5039,0.5039,0.0000,0.8182,1.0000,1.0000,0.9091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.2727,0.2859,-0.2302,Both acceptable
973,0.2797,0.5140,-0.0726,0.0726,0.1481,0.1481,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.6421,0.6451,-0.5468,0.5468,-0.9346,0.9346,0.0000,0.8000,1.0000,1.0000,0.8000,1.0000,1.0000,0.9333,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.1310,0.7865,0.4743,Both acceptable
1001,0.3703,0.5789,-0.0762,0.0762,0.6250,0.6250,0.6094,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,1.1509,1.1509,1.1198,1.1198,1.2620,1.2620,0.6094,0.3333,0.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,False,True,False,True,False,0.5719,0.6370,1.0436,Prefer v2_CLint
1009,1.3121,1.4625,-0.6014,0.6014,1.2081,1.2081,0.0000,0.3750,1.0000,0.0000,0.3750,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,1.0070,1.0481,-0.1645,0.1645,1.0229,1.0229,0.0000,0.3750,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,False,False,True,True,False,False,-0.4144,-0.1852,-0.4370,Refinement
1018,-0.1898,0.2030,-0.1185,0.1185,-0.1414,0.1414,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-1.6696,1.6696,-0.9369,0.9369,-1.5063,1.5063,0.0000,0.2857,1.0000,0.0000,0.4286,1.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,False,True,True,True,False,1.4666,1.3650,0.8184,Prefer v2_CLint
1041,-0.1558,0.4220,-0.2100,0.2100,-0.0855,0.0855,0.1258,0.9444,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,0.2962,0.5482,-0.0208,0.0208,0.4619,0.4619,0.1258,0.7778,1.0000,1.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,True,True,True,0.1262,0.3764,-0.1892,Both acceptable
1094,-3.1149,3.4571,0.3187,0.3187,-2.1163,2.1163,-0.5825,0.2222,1.0000,0.0000,0.3333,1.0000,0.0000,0.3333,1.0000,1.0000,0.4444,1.0000,1.0000,v2_CLint,-1.6164,1.6809,-0.9307,0.9307,-1.6830,1.6830,-0.5825,0.2222,1.0000,0.0000,0.3333,1.0000,0.0000,0.8889,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,False,False,True,True,False,False,-1.7762,-0.4333,0.6119,Refinement
1095,2.2091,2.3342,0.4180,0.4180,1.6079,1.6079,1.2586,0.1842,1.0000,0.0000,0.3158,1.0000,0.0000,0.4737,1.0000,1.0000,0.6842,1.0000,1.0000,v2_CLint,0.7867,2.1063,1.6065,1.6065,1.7483,1.7483,1.0782,0.1842,0.0000,0.0000,0.4211,0.0000,0.0000,0.6579,1.0000,1.0000,0.9211,1.0000,1.0000,v3_CLsys,False,False,True,False,False,False,-0.2279,0.1404,1.1884,Refinement
1197,2.0422,2.4561,-1.2236,1.2236,2.7362,2.7362,0.5804,0.1818,0.0000,0.0000,0.4545,1.0000,0.0000,0.5455,1.0000,0.0000,0.6364,1.0000,1.0000,v2_CLint,0.2989,0.7836,-0.4324,0.4324,0.3472,0.3472,0.0000,0.6364,1.0000,1.0000,0.9091,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,False,True,False,True,False,True,-1.6726,-2.3890,-0.7912,Prefer v3_CLsys
1245,0.4857,0.6804,-0.4701,0.4701,0.3298,0.3298,0.4982,0.7143,1.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-0.0362,0.8490,-1.3125,1.3125,-0.1575,0.1575,0.4982,0.7143,0.0000,1.0000,0.8571,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,True,True,False,True,False,0.1686,-0.1722,0.8425,Prefer v2_CLint
1293,-1.4452,1.6420,-3.4235,3.4235,-1.2350,1.2350,0.0000,0.3333,0.0000,0.0000,0.5000,0.0000,1.0000,0.6667,0.0000,1.0000,0.9167,0.0000,1.0000,v2_CLint,-2.7991,2.7991,-4.0776,4.0776,-2.7712,2.7712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.6667,0.0000,1.0000,v3_CLsys,False,False,False,False,False,False,1.1571,1.5362,0.6541,Refinement
1300,1.1184,1.1344,-0.2395,0.2395,1.2228,1.2228,0.0000,0.3667,1.0000,0.0000,0.7000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,1.2025,1.2931,-0.7101,0.7101,1.5574,1.5574,0.0000,0.4000,1.0000,0.0000,0.6000,1.0000,1.0000,0.9000,1.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,False,False,True,True,False,False,0.1587,0.3347,0.4705,Refinement
1319,0.3642,1.1708,-0.6594,0.6594,0.6208,0.6208,0.7460,0.4375,1.0000,1.0000,0.6875,1.0000,1.0000,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,1.8392,2.3410,-0.0017,0.0017,2.5109,2.5109,0.7460,0.2500,1.0000,0.0000,0.3750,1.0000,0.0000,0.5000,1.0000,0.0000,0.6875,1.0000,1.0000,v3_CLsys,True,False,True,True,True,False,1.1702,1.8900,-0.6577,Prefer v2_CLint
1323,-0.2417,0.8925,-1.0193,1.0193,-0.4311,0.4311,0.0000,0.7500,0.0000,1.0000,0.8750,1.0000,1.0000,0.9375,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,-1.7171,2.0352,-2.3896,2.3896,-1.8539,1.8539,0.0000,0.0625,0.0000,0.0000,0.2500,0.0000,0.0000,0.5625,0.0000,1.0000,1.0000,1.0000,1.0000,v3_CLsys,True,False,False,False,False,False,1.1427,1.4228,1.3703,Refinement
1341,0.7530,0.8398,0.0180,0.0180,0.6765,0.6765,-0.0697,0.5882,1.0000,1.0000,0.8824,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,v2_CLint,2.2630,2.2630,1.2745,1.2745,2.1745,2.1745,-0.0697,0.0588,0.0000,0.0000,0.2941,1.0000,0.0000,0.4706,1.0000,1.0000,0.8824,1.0000,1.0000,v3_CLsys,True,False,True,False,True,False,1.4233,1.4979,1.2566,Prefer v2_CLint
