PUBCHEM_CID,Actual,Predicted,Dataset
137,-0.9476909,-0.9476908999999988,lgCL_train
237,-0.514278574,-0.5142785740000005,lgCL_train
323,0.151063253,0.1510632530000002,lgCL_train
444,0.475048246,0.475048246,lgCL_train
535,-1.045757491,-1.0457574910000023,lgCL_train
564,-0.823908741,-0.8239087409999982,lgCL_train
598,0.089905111,0.08990511100000015,lgCL_train
774,0.477121255,0.4771212550000001,lgCL_train
896,-0.004364805,-0.0043648050000000115,lgCL_train
1046,-1.263034674,-1.2630346739999974,lgCL_train
1355,-0.436518915,-0.43651891500000045,lgCL_train
1645,-0.324221658,-0.32422165799999975,lgCL_train
1727,-0.253365801,-0.2533658010000002,lgCL_train
1775,-1.653647026,-1.6536470259999982,lgCL_train
1935,0.526339277,0.5263392769999998,lgCL_train
1983,-0.522878745,-0.522878745,lgCL_train
1986,-1.408935393,-1.4089353929999975,lgCL_train
2083,-0.329754147,-0.32975414699999944,lgCL_train
2088,-0.765916795,-0.7659167950000001,lgCL_train
2092,-0.450996738,-0.45099673800000045,lgCL_train
2118,-1.35261703,-1.3526170300000018,lgCL_train
2119,-0.045757491,-0.04575749099999991,lgCL_train
2130,-0.540607512,-0.5406075120000007,lgCL_train
2140,-0.991399828,-0.991399827999999,lgCL_train
2153,-1.287350298,-1.2873502980000036,lgCL_train
2157,-0.943095149,-0.9430951490000009,lgCL_train
2159,-0.463080998,-0.46308099800000035,lgCL_train
2160,-0.436518915,-0.43651891500000045,lgCL_train
2162,-0.37675071,-0.37675071000000027,lgCL_train
2200,0.07195561,0.07195560999999989,lgCL_train
2206,-1.415668776,-1.4156687760000002,lgCL_train
2244,-0.142667504,-0.14266750400000017,lgCL_train
2249,-0.823908741,-0.8239087409999982,lgCL_train
2267,-0.26760624,-0.26760623999999944,lgCL_train
2369,-0.690369833,-0.6903698329999993,lgCL_train
2372,-0.48148606,-0.48148606000000116,lgCL_train
2375,-2.339948021,-2.3399480209999983,lgCL_train
2405,-0.653647026,-0.6536470260000011,lgCL_train
2446,-0.107905397,-0.10790539699999982,lgCL_train
2451,-0.920818754,-0.9208187539999995,lgCL_train
2467,-0.473660723,-0.473660723,lgCL_train
2468,-0.403622856,-0.4036228559999991,lgCL_train
2472,-0.540607512,-0.5406075120000007,lgCL_train
2474,-0.622381568,-0.6223815680000011,lgCL_train
2478,-0.841637508,-0.8416375080000007,lgCL_train
2519,-1.075720714,-1.0757207139999994,lgCL_train
2520,0.033423755,0.03342375499999996,lgCL_train
2528,-0.790484985,-0.7904849850000006,lgCL_train
2543,0.029789471,0.029789470999999967,lgCL_train
2554,-1.1638568,-1.1638568000000018,lgCL_train
2578,0.670245853,0.6702458529999988,lgCL_train
2581,-1.514278574,-1.5142785740000015,lgCL_train
2585,-0.329754147,-0.32975414699999944,lgCL_train
2662,-0.402618271,-0.40261827100000075,lgCL_train
2678,-1.464886802,-1.4648868019999979,lgCL_train
2684,-0.11270428,-0.11270428000000025,lgCL_train
