PUBCHEM_CID,Actual,Predicted,Dataset
15,-1.504455662,-1.0945594599128494,lgFu_train
72,-0.101549075,-0.3053266377852675,lgFu_train
135,-0.188090026,-0.3860154615952324,lgFu_train
191,-0.161150909,-0.052123757868295165,lgFu_train
214,-1.096910018,-0.9034639971196443,lgFu_train
237,-0.987162775,-1.6482875958344378,lgFu_train
241,-0.337242168,-0.7743951804367012,lgFu_train
253,-0.09691001,-0.207559544947674,lgFu_train
288,-0.001087096,0.1268358665993333,lgFu_train
322,-0.458420762,-0.5047257397339596,lgFu_train
323,-0.716156253,-1.0185822439056602,lgFu_train
335,-0.420168459,-0.49107474908347426,lgFu_train
338,-0.931814138,-0.44309934306939125,lgFu_train
342,-0.440093375,-0.4384666508781773,lgFu_train
356,-0.986867724,-0.879299565832511,lgFu_train
370,-0.166215622,-0.36530655925024497,lgFu_train
401,-0.09691001,-0.10849232545337109,lgFu_train
444,-0.434752706,-0.5113935077334406,lgFu_train
460,-0.244887734,-0.2917257056485912,lgFu_train
564,-0.03621217,-0.03760402700937591,lgFu_train
568,-3.0,-2.067788378022364,lgFu_train
581,-0.769551079,-0.27215233103653264,lgFu_train
596,-0.041615157,-0.035976802059678015,lgFu_train
698,-1.393618635,-1.7881796399013263,lgFu_train
709,-0.570651515,-0.6236813429603645,lgFu_train
727,-1.568100731,-2.206883634550386,lgFu_train
815,-0.004364805,-0.1893010780434612,lgFu_train
836,-0.086627728,-0.2798799789802639,lgFu_train
838,-0.301029996,-0.1998667679873028,lgFu_train
861,-1.698970004,-0.9829866926842445,lgFu_train
904,-0.031517049,-0.3608674357525101,lgFu_train
931,-1.8069332,-1.560172320057681,lgFu_train
938,-0.210709505,-0.2604652626157754,lgFu_train
951,-0.301029996,-0.12616526413225645,lgFu_train
957,-0.189095719,-0.19400430391912526,lgFu_train
971,-0.001087096,-0.31186175143642747,lgFu_train
978,-0.11577123,-0.34709925416154247,lgFu_train
980,-0.810165983,-0.47873563953196624,lgFu_train
992,-1.527148513,-1.6642240494008327,lgFu_train
1027,-0.698970004,-1.2446808573449226,lgFu_train
1046,-0.045757491,-0.17978602309215513,lgFu_train
1054,-0.001087096,-0.17137328144559938,lgFu_train
1065,-0.789146639,-0.5755848603766269,lgFu_train
1072,-0.397940003,-0.7701584019109043,lgFu_train
1130,-1.096910013,-0.15926807556595676,lgFu_train
1134,-0.014573526,-0.0008951987948864863,lgFu_train
1140,-0.522878745,-0.7334357128107644,lgFu_train
1148,-0.698970004,-0.4421399224104411,lgFu_train
1183,-0.492144128,-0.36073546501662446,lgFu_train
1206,-0.070581072,-0.2893378797281167,lgFu_train
1207,-0.276708554,-0.7249936835825856,lgFu_train
1211,-0.241592809,-0.9962404691959339,lgFu_train
1234,-1.0,-0.8701325217006008,lgFu_train
1287,-1.055517318,-1.3844211175566044,lgFu_train
1480,-1.896196279,-1.4833401639766624,lgFu_train
1486,-1.38695141,-1.4130822290637104,lgFu_train
1489,-2.116007775,-1.2184154532948734,lgFu_train
1546,-0.0275066,-0.05449941924318248,lgFu_train
1615,-0.455931962,-0.4064562340877549,lgFu_train
1732,-1.140861703,-0.9973240430328699,lgFu_train
1744,-2.721246399,-2.2708119897903636,lgFu_train
1775,-1.0,-0.8765050064735737,lgFu_train
1923,-0.926645015,-0.6217705297113928,lgFu_train
1935,-0.346787486,-1.462660951300662,lgFu_train
1971,-0.301029996,-0.27280097259945246,lgFu_train
1973,-1.46470588,-1.441321117040142,lgFu_train
1981,-1.0,-1.5002310269536896,lgFu_train
1982,-0.061282438,-0.17492384581068784,lgFu_train
1983,-0.055517328,-0.31222570445516695,lgFu_train
1986,-1.221848753,-0.24318454963277766,lgFu_train
1988,-0.804515477,-0.9724689315761851,lgFu_train
1989,-0.602059991,-1.086236598248676,lgFu_train
1997,-0.698970004,-0.638472610153263,lgFu_train
2021,-0.022276397,-0.15607863407068365,lgFu_train
2078,-0.873462748,-0.9606296685909882,lgFu_train
2082,-0.931481269,-1.1100536196177961,lgFu_train
2083,-0.045757491,-0.03380985777485236,lgFu_train
2086,-0.318017926,-0.14585509725944729,lgFu_train
2087,-1.872963349,-1.5883954181136177,lgFu_train
2088,-0.677780716,-0.43921025562578747,lgFu_train
2092,-0.93930216,-0.9222125344078002,lgFu_train
2118,-0.698970004,-0.767015778929815,lgFu_train
2119,-0.657577319,-0.36198280891294743,lgFu_train
2123,-1.22184875,-1.1381681759054516,lgFu_train
2130,-0.48148606,-0.18162775596363073,lgFu_train
2132,-1.0,-0.5863785960105432,lgFu_train
2140,-0.010995384,-0.2241791646905026,lgFu_train
2142,-0.048176962,-0.12195373363361178,lgFu_train
2145,-0.201579567,-0.266763845928364,lgFu_train
2153,-0.387216143,-0.28266918514255746,lgFu_train
