PUBCHEM_CID,Actual,Predicted,Dataset
137,-0.9476909,-0.9351873597060146,lgCL_train
237,-0.514278574,-0.3772063679004361,lgCL_train
323,0.151063253,0.0027867823882616882,lgCL_train
444,0.475048246,-0.15523936272608263,lgCL_train
535,-1.045757491,-0.9458637714262133,lgCL_train
564,-0.823908741,-0.9235952399729048,lgCL_train
598,0.089905111,-0.6917785352417726,lgCL_train
774,0.477121255,-0.11510707133027542,lgCL_train
896,-0.004364805,-0.4745775801937664,lgCL_train
1046,-1.263034674,-1.0568562412004385,lgCL_train
1355,-0.436518915,-0.3399243380786051,lgCL_train
1645,-0.324221658,-0.7361294740046269,lgCL_train
1727,-0.253365801,-0.4977907970915584,lgCL_train
1775,-1.653647026,-1.7538587576454223,lgCL_train
1935,0.526339277,0.032650790498136795,lgCL_train
1983,-0.522878745,-0.9285261943275651,lgCL_train
1986,-1.408935393,-1.2589293748966768,lgCL_train
2083,-0.329754147,-0.2907065440748671,lgCL_train
2088,-0.765916795,-0.8661000936926426,lgCL_train
2092,-0.450996738,-0.9759002899714583,lgCL_train
2118,-1.35261703,-0.6702007272645165,lgCL_train
2119,-0.045757491,-0.2974135342545994,lgCL_train
2130,-0.540607512,-0.6406489644100571,lgCL_train
2140,-0.991399828,-0.8915763475694045,lgCL_train
2153,-1.287350298,-0.608807402132548,lgCL_train
2157,-0.943095149,-0.8434470580825588,lgCL_train
2159,-0.463080998,-0.38927416258132486,lgCL_train
2160,-0.436518915,-0.16415645777036958,lgCL_train
2162,-0.37675071,-0.2453854470845792,lgCL_train
2200,0.07195561,-0.24803400292223254,lgCL_train
2206,-1.415668776,-0.537504587163226,lgCL_train
2244,-0.142667504,-0.5120494776687817,lgCL_train
2249,-0.823908741,-0.6357782398075803,lgCL_train
2267,-0.26760624,-0.24089345147640606,lgCL_train
2369,-0.690369833,-0.3810620434058406,lgCL_train
2372,-0.48148606,-0.38139847511551883,lgCL_train
2375,-2.339948021,-2.229223510013342,lgCL_train
2405,-0.653647026,-0.5195662302499492,lgCL_train
2446,-0.107905397,-0.44741258062730593,lgCL_train
2451,-0.920818754,-0.7220171390498429,lgCL_train
2467,-0.473660723,-0.301043000356745,lgCL_train
2468,-0.403622856,-0.5035544258260863,lgCL_train
2472,-0.540607512,-0.6950995752072824,lgCL_train
2474,-0.622381568,-0.23134121110204953,lgCL_train
2478,-0.841637508,-0.7889851789152182,lgCL_train
2519,-1.075720714,-0.8805423363511413,lgCL_train
2520,0.033423755,-0.21285243847895474,lgCL_train
2528,-0.790484985,-0.9126155576836061,lgCL_train
2543,0.029789471,-0.0701522113570402,lgCL_train
2554,-1.1638568,-1.063615164021939,lgCL_train
2578,0.670245853,0.14262235424563485,lgCL_train
2581,-1.514278574,-1.4574686864797377,lgCL_train
2585,-0.329754147,-0.2538240805214631,lgCL_train
2662,-0.402618271,-0.9436694160926427,lgCL_train
2678,-1.464886802,-0.6352985877422228,lgCL_train
2684,-0.11270428,-0.2482596537646521,lgCL_train
2717,-3.066946717,-2.36630446837241,lgCL_train
2719,-0.609064893,-0.26307719675411695,lgCL_train
2725,-0.823908741,-0.3560201638753605,lgCL_train
2726,-0.017728767,-0.1439438722811297,lgCL_train
2727,-2.568636236,-1.4559229949543093,lgCL_train
2732,-1.045757491,-1.1455343521898773,lgCL_train
2747,-0.287350298,-0.27738458958494655,lgCL_train
2771,-0.588380294,-0.38834057295064556,lgCL_train
2789,-1.614649124,-2.1745037804043554,lgCL_train
2801,-0.308034897,-0.213154193614417,lgCL_train
2803,-0.619788758,-0.37346648247647046,lgCL_train
2809,-1.180456064,-1.3150989368002932,lgCL_train
2895,-0.22184875,-0.16114835536623362,lgCL_train
2955,-1.540607512,-1.3579714110211107,lgCL_train
2972,-0.26645883,-0.4423966504674205,lgCL_train
2973,-0.301203748,-0.20921951958557428,lgCL_train
2995,-0.180456064,-0.27394863816825576,lgCL_train
2997,-2.142667504,-1.6002204374625715,lgCL_train
3007,-0.276896316,-0.3767479220523263,lgCL_train
3016,-1.642065153,-1.5417275914765494,lgCL_train
3033,-0.677780705,-0.960135480946731,lgCL_train
3042,0.114896798,-0.08439015640565806,lgCL_train
3052,-1.544068038,-0.36726837558446157,lgCL_train
3059,-2.22184875,-1.9675967713163554,lgCL_train
3100,-0.230622674,-0.3516440353213692,lgCL_train
3108,-0.920818754,-0.8204566113145579,lgCL_train
3114,-1.26760624,-0.7027051681870065,lgCL_train
3116,-1.920818754,-0.5557496425012395,lgCL_train
3121,-2.017728767,-1.406799819195602,lgCL_train
3152,-0.920818754,-0.33321934177922674,lgCL_train
3156,-0.49757288,-0.2866196544802608,lgCL_train
3162,-0.776912179,-0.5282462988132051,lgCL_train
3182,-0.540607512,-0.5875093902120659,lgCL_train
3202,-0.239577517,-0.30476340454916134,lgCL_train
3241,-0.096910013,-0.21868286998360253,lgCL_train
3278,-0.282329497,-0.9787316696157852,lgCL_train
3308,-1.367976784,-1.468133506980251,lgCL_train
3331,-1.640978055,-0.7191385490374544,lgCL_train
3333,-0.180456064,-0.13666943756328087,lgCL_train
3337,-0.45064636,-0.3541460479666782,lgCL_train
3344,-0.806875402,-0.3190882742135599,lgCL_train
3345,-0.549750892,-0.29900080427282993,lgCL_train
3366,-0.920818754,-0.4388299137313951,lgCL_train
3372,-0.235077015,-0.30315339251069506,lgCL_train
3373,-0.017728767,-0.11782655785662177,lgCL_train
3380,-1.075720714,-1.2092774698530986,lgCL_train
3385,0.193124598,0.09311535916261193,lgCL_train
3394,-1.811674297,-1.650927991295445,lgCL_train
3406,-1.358525889,-0.36507760338312806,lgCL_train
3410,0.079181246,0.025142291406836992,lgCL_train
3415,-0.899629455,-0.999821190028198,lgCL_train
3440,-1.017728767,-1.1040823988764572,lgCL_train
3450,-1.042871802,-0.9424241856662784,lgCL_train
3463,-0.953003439,-0.8638617009003551,lgCL_train
3488,-1.308034897,-1.2077705038793187,lgCL_train
3547,0.667452953,-0.1103574726447254,lgCL_train
3590,-0.191653964,-0.9238461574953319,lgCL_train
3608,-0.690369833,-0.7904000233852975,lgCL_train
3637,0.707570176,0.29906981911118025,lgCL_train
3639,-0.483370203,-0.5774781493831764,lgCL_train
3647,-0.235077015,-0.5071067118295614,lgCL_train
3652,-0.180456064,-0.2282192125621384,lgCL_train
3657,-1.045757491,-0.6266420463170859,lgCL_train
3658,-0.254033433,-0.19742029717359655,lgCL_train
3672,-1.308034897,-1.2077431805478238,lgCL_train
3689,0.588182037,-0.015732346686849086,lgCL_train
3690,-1.180456064,-0.7072146976611888,lgCL_train
3696,-0.107905397,-0.3095402136640468,lgCL_train
3698,-0.272458743,-0.2901466269662978,lgCL_train
3699,-0.887394998,-0.7873850451138199,lgCL_train
