PUBCHEM_CID,ID_trend_pbpk,Name_final,Drug_Name,class,class_control,scenario_A,scenario_B,scenario_control_A,scenario_control_B,ECCS_Class,ECCS_new,clearance_group,ionization_group,logP_bin,Vd_bin,dataset_s2,Mole_Wh,Mole_Wh_key,MW_s2,LogP,LogP_key,LogP_s2,pKa1,pKa2,pKa1_key,pKa2_key,CompoundType_key,Fu,Fu_key,Fu_s2,Fu_obs_s2,Fu_pred_s2,VD,VD_key,VD_s2,VD_obs_s2,VD_pred_s2,CLRbase,CLRbase_s2,CLint_H_extra,CL_MetPoBas_s2,CL_MetBas_s2,CL_MetBas_key,CLsys_obs_s2,CLsys_pred_s2,Pcnt3AMetCL,ActiveUptakeHep,BiliaryClearanceType,EnteredPeff,MDCKValue,PAMPAValue,KpPredictionMethod,KpPredictionMethod_key,clearance_ref_cas,clearance_ref_in_vivo_clintu_ml_min_kg,clearance_ref_hepatocyte_clintu_ml_min_kg,clearance_ref_hlm_clintu_ml_min_kg,clearance_ref_human_cl_ml_min_kg,clearance_ref_primary_mechanism,clearance_ref_mechanism_code,clearance_ref_mechanism_pct_ref,clearance_ref_mechanism_comments,clearance_ref_mechanism_notes,abs_log2_A,abs_log2_B,fe_cmax_abs_A,fe_cmax_abs_B,fe_auc_abs_A,fe_auc_abs_B,time_within_2fold_A,time_within_2fold_B,delta_score_conc_v3_minus_v2,delta_score_auc_v3_minus_v2,delta_score_cmax_v3_minus_v2,delta_time_within_2fold_v3_minus_v2
148124.0,413,docetaxel,Docetaxel,Refinement,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,,,Uptake/Biliary-influenced,Acidic,2-4,High,Simcyp+Trend,807.89,807.89,807.89,2.83,0.459,2.83,0.0,0.0,0.0,0.0,4,1.0,0.073719227,1.0,0.04,0.0523595698463367,3.0,3.339,3.0,2.1,11.8257144749476,1.71,0.09,0.0,20.0,45.0,35.23344756,0.84,0.50333496508161,93.0,1.0,1,1.0,50.0,50.0,2,0,114977-28-5,,,,14.0,,M1,"Docetaxel, PDR prescribing information",,,2.028,2.6857,2.0453,2.4797,0.0949,0.9223,0.2,0.1,0.6577000000000002,0.8274,0.4343999999999997,-0.1
12560.0,471,erythromycin,Erythromycin,Refinement,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_4; High_MWt,Class4,Metabolism-leaning,Basic,2-4,Mid,Geci+Simcyp+Trend,733.9,733.9,733.9,2.5,-0.545,2.5,8.8,0.0,8.23,0.0,3,0.31,0.568316188,0.31,0.1,0.217619248887533,0.75,2.758,0.75,0.95,4.3058184169417,3.13,0.003,0.0,63.6,27.8,32.01514163,0.336,0.45735916612947713,100.0,1.0,0,1.0,0.094,50.0,1,0,114-07-8,,,,5.6,biliary,M3,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/050207s064lbl.pdf. Accessed March 9 2012,"CLINICAL PHARMACOLOGY
Orally administered erythromycin ethylsuccinate suspension is readily and reliably absorbed under both fasting and nonfasting conditions.
Erythromycin diffuses readily into most body fluids. Only low concentrations are normally achieved in the spinal fluid, but passage of the drug across the blood-brain barrier increases in meningitis. In the presence of normal hepatic function, erythromycin is concentrated in the liver and excreted in the bile; the effect of hepatic dysfunction on excretion of erythromycin by the liver into the bile is not known. Less than 5 percent of the orally administered dose of erythromycin is excreted in active form in the urine. NO QUANTITATIVE INFORMATION AVAILABLE.",,1.8644,0.623,0.5362,1.7365,1.2284,0.6928,0.5,0.875,-1.2414,-0.5356,1.2003,0.375
123619.0,488,etoricoxib,Etoricoxib,Prefer v3_CLsys,Prefer v0_baseline_simcyp,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Acidic,2-4,High,Simcyp+Trend,358.8,358.8,358.8,3.6,2.121,3.6,4.6,0.0,4.34,0.0,3,0.102,0.07875031,0.102,0.081,0.0350190178005692,3.0,0.87,3.0,1.5,0.498029497388465,0.0,15.5,0.0,20.0,3.16,1.837871152,0.0474,0.026255302172922573,1e-05,1.0,0,1.0,50.0,50.0,0,0,202409-33-4,,,,0.79,metabolic,M1,Rodrigues AD et al.,70% recovered in urine with < 1 % unchanged drug.,,0.9529,0.9918,0.6445,0.0272,1.0373,0.8909,0.8333,0.7778,0.038900000000000046,-0.14640000000000009,-0.6173,-0.055499999999999994
3696.0,637,imipramine,Imipramine,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Basic,>4,High,Geci+Simcyp+Trend,280.4,280.4,358.8,4.505,3.876,3.6,9.48,0.0,9.04,0.0,3,0.13,0.133013336,0.102,0.075,0.10701560104229,17.37,7.666,3.0,12.0,8.89629699465524,0.15,0.216,0.0,20.0,54.4,40.94391779,0.78,0.5849131112635029,1.0,1.0,0,1.0,154.0,50.0,1,0,50-49-7,255.0,90.0,113,13.0,metabolic,M1,"Crammer, J. L.; Scott, Bernard; Rolfe, Brenda. Metabolism of imipramine-14C.  II.  Urinary metabolites in man. Psychopharmacologia 1969, 3, 207-25","After oral administration of imipramine-14C into patients, >20 labeled metabolites were partially identified in the urine, including free compds., glucuronides, and a series of acid-labile conjugates.  Free and conjugated forms of 2-hydroxymethylimipramine totalled ≤40%, of 2-hydroxyimipramine ≤25%, and of 2-hydroxyiminodibenzyl ≤15% of all the metabolites excreted.  Didesmethylimipramine and its derivs. were present only in small amts., while free iminodibenzyl and 10-hydroxydesmethylimipramine accounted for ∼3% of the total metabolite excretion.  Thus, the metabolism was described completely in terms of demethylation or dealkylation, and hydroxylation at the 2 or 10 position with subsequent conjugation.  There was more demethylation in females than males.  Continued daily treatment with imipramine was assocd. with an increase in the excretion of free 2-hydroxy metabolites and a rise in the glucuronides in some of the patients.  The individual differences in metabolite excretion could not be correlated with differences in clin. response, whether they were adverse or therapeutic. ",,0.3659,0.9103,0.3111,0.2913,0.205,0.8129,0.8889,0.8889,0.5444,0.6079,-0.019799999999999984,0.0
3793.0,674,itraconazole,Itraconazole_Fasted Soln,Refinement,Prefer v0_baseline_simcyp,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2; High_MWt,Class2,Metabolism-leaning,Acidic,>4,High,Geci+Simcyp+Trend,705.6,705.6,705.6,4.47,4.179,4.47,4.28,0.0,3.78,0.0,3,0.016,0.016388869,0.016,0.002,0.0103718044264431,10.7,1.905,10.7,7.4,3.14276555072025,0.0,0.625,0.0,84.8,22.9,18.76571069,0.306,0.26808158133485427,100.0,1.0,0,1.0,57.1,50.0,0,0,84625-61-6,,,,5.1,Not reported.,,,,,1.036,1.2561,1.4926,0.4057,0.0391,1.4214,0.6429,0.4286,0.22009999999999996,1.3823,-1.0869,-0.21430000000000005
3883.0,703,lansoprazole,Lansoprazole,Both acceptable,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Acidic,2-4,High,Geci+Simcyp+Trend,369.4,369.4,369.4,2.8,1.268,2.8,4.15,0.0,3.69,0.0,3,0.03,0.072900848,0.03,0.021,0.0201924310688737,3.0,0.641,3.0,0.28,0.606590298300574,0.0,0.038,0.0,20.0,1e-05,9.99735972,0.264,0.14281942456980914,1e-05,1.0,0,7.15,69.0,50.0,0,0,103577-45-3,,,,4.4,metabolism,M3,"Landes B D; Petite J P; Flouvat B  Clinical pharmacokinetics of lansoprazole.    Clinical pharmacokinetics  (1995),  28(6),  458-70.",no C14 study reported,,0.6228,1.0345,0.3496,0.6865,0.5784,0.8481,1.0,0.6471,0.41169999999999995,0.26969999999999994,0.3369,-0.3529
3958.0,739,lorazepam,Lorazepam,Prefer v3_CLsys,Prefer v0_baseline_simcyp,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Zwitterion,2-4,Mid,Geci+Simcyp+Trend,321.16,321.16,321.16,2.4,2.953,2.4,11.5,1.3,11.29,1.52,5,0.102,0.091878341,0.102,0.09,0.0400812563439274,1.13,1.032,1.13,1.3,0.847772504218415,0.019,8.05,0.0,4.13,3.763,6.27814843,0.06,0.08968783471213243,1e-05,1.0,0,1.0,50.0,50.0,1,0,846-49-1,15.0,1.9,22,1.0,metabolic,M1,PDR accessed August 22 2012. http://www.pdr3d.com/detail.php?c=9785#section-3,"Lorazepam is extensively conjugated to the 3-O-phenolic glucuronide in the liver and is known to undergo enterohepatic recirculation. Lorazepam glucuronide is an inactive metabolite and is eliminated mainly by the kidneys.

Following a single 2-mg oral dose of 14C-lorazepam to 8 healthy subjects, 88±4% of the administered dose was recovered in urine and 7±2% was recovered in feces. The percent of administered dose recovered in urine as lorazepam glucuronide was 74±4%. Only 0.3% of the dose was recovered as unchanged lorazepam, and the remainder of the radioactivity represented minor metabolites.",,0.2465,0.4385,1.096,0.7508,0.1833,0.4302,0.9,0.9,0.192,0.24690000000000004,-0.34520000000000006,0.0
4091.0,781,metformin,Metformin,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_4,Class4,Renal-leaning,Basic,<2,Mid,Geci+Simcyp+Trend,129.16,129.16,129.16,-1.43,-0.329,-1.43,11.8,0.0,10.81,0.0,3,1.0,0.991788353,1.0,1.0,0.585524399022124,1.68,1.029,1.68,0.64,2.00780410120099,32.3,0.041,0.0,70.6,32.0,30.77580247,0.444,0.4396543209577814,1e-05,1.0,0,1.226,50.0,50.0,1,0,657-24-9,,,,7.4,renal,R1,"Pentikainen PJ, Neuvonen PJ, and Penttila A (1979) Pharmacokinetics of metformin after intravenous and oral administration to man.  Eur. J. Clin. Pharmacol. 16: 195-202. See also: Cesare R. Sirtori, Guido Franceschini, , Marzia Galli-Kienle, ,Giuliana Cighetti,  Alighiero Bondioli, and Franco Conti. Disposition of metformin (N,N-dimethylbiguanide) in man. Clinical pharmacology & therapeutics, 1978, 24, 683-693.",76-86% excreted unchanged in urine,,2.2762,0.5918,0.4679,0.8656,0.7719,0.0418,0.4375,0.9375,-1.6843999999999997,-0.7301000000000001,0.39770000000000005,0.5
126941.0,787,methotrexate,Methotrexate,Refinement,Refinement,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_3B,Class3,Metabolism-leaning,Multiprotic/Other,<2,High,Geci+Simcyp+Trend,454.44,454.44,454.44,-1.85,-0.313,-1.85,4.7,3.36,4.4,3.53,0,0.5,0.29315246,0.5,0.37,0.282257976654297,3.0,0.431,3.0,0.43,0.678994680707427,6.15,2.51,0.164,11.55,7.19,16.71284204,0.126,0.23875488632920855,1e-05,1.0,0,1.0,0.25,50.0,1,0,59-05-2,,,,2.1,renal,R1,PDR accessed August 20 2012. http://www.pdr3d.com/detail.php?c=40025#section-4,"Renal excretion is the primary route of elimination and is dependent upon dosage and route of administration. With IV administration, 80 to 90% of the administered dose is excreted unchanged in the urine within 24 hours. There is limited biliary excretion amounting to 10% or less of the administered dose. Enterohepatic recirculation of methotrexate has been proposed",,1.8359,3.6903,1.0434,1.3403,0.9319,2.0496,0.4545,0.0,1.8544,1.1177,0.29689999999999994,-0.4545
4171.0,800,metoprolol,Metoprolol,Both acceptable,Both acceptable,v2_CLint,v3_CLsys,v0_baseline_simcyp,v1_control_minimal,Class_2,Class2,Mixed/Other,Basic,<2,High,Geci+Simcyp+Trend,267.4,267.4,267.4,1.88,1.653,1.88,9.75,0.0,9.59,0.0,3,0.88,0.561258402,0.88,0.88,0.655456979015974,4.96,2.764,4.96,2.878571429,2.35143344510877,5.23,0.0,0.0,176.0,57.4,23.00174844,0.724285714,0.3285964062791529,7.0,1.0,0,1.3,24.0,50.0,1,0,51384-51-1,32.0,16.0,4,13.0,metabolic,M1,"Regardh C G; Johnsson G  Clinical pharmacokinetics of metoprolol.    Clinical pharmacokinetics  (1980),  5(6),  557-69.  Journal code: 7606849.  ISSN:0312-5963.  PubMed ID 7002420 AN 1981065625    MEDLINE",10% of a dose is excreted as unchanged drug.,,0.8217,0.8132,0.0624,0.1222,0.9738,0.9657,0.4444,0.7778,-0.008499999999999952,-0.008099999999999996,0.059800000000000006,0.33340000000000003
