Endpoint,N_paired,mean_abs_true_diff_log10,A_MAE,G_MAE,delta_MAE_A_minus_G,delta_MAE_CI95_lo,delta_MAE_CI95_hi,wilcoxon_p_abs_err,A_RMSE,G_RMSE,delta_RMSE_A_minus_G,delta_MSE_A_minus_G,delta_MSE_CI95_lo,delta_MSE_CI95_hi,A_GMFE,G_GMFE,A_FE<2,G_FE<2,delta_FE<2_A_minus_G,delta_FE<2_CI95_lo,delta_FE<2_CI95_hi,mcnemar_p_FE<2,A_R2,G_R2,delta_R2_A_minus_G,delta_R2_CI95_lo,delta_R2_CI95_hi
Fu,633,0.0,0.3403877751729149,0.356049863761887,-0.015662088588972112,-0.02882015809110648,-0.0021321025148248285,0.012097024796620923,0.4712126144001505,0.48399646844889826,-0.012783854048747767,-0.012211253501180463,-0.028203777812923533,0.0032587138546248213,2.1897159165645426,2.2701254826380617,0.5813586097946287,0.5781990521327014,0.003159557661927326,-0.028436018957345936,0.0363349131121643,0.9219488276264309,0.6624597026222856,0.6438965361350844,0.018563166487201244,-0.004905260809510786,0.04400646620408139
CL,177,0.0,0.2996823712108703,0.30803380044056466,-0.00835142922969434,-0.032221285983555385,0.01708590009561161,0.3668704216266213,0.40881823760205427,0.42148926100933076,-0.012671023407276494,-0.01052084575014206,-0.03649840885160027,0.016049298409655063,1.9938035788279387,2.0325151921668843,0.6497175141242938,0.5706214689265536,0.07909604519774016,0.016949152542372836,0.14124293785310738,0.024306510109454393,0.5050807489213767,0.4739259841144412,0.031154764806935464,-0.04577379895203204,0.11690492554667835
VDss,177,0.0,0.2793331075477148,0.31655580255739335,-0.037222695009678564,-0.061737813623296084,-0.010426607885562785,0.009239891727469925,0.35905526812510474,0.3898983829005451,-0.030843114775440383,-0.023100063420069233,-0.04536957781834933,-0.0002680546918369869,1.9025369824203036,2.072792375848642,0.6440677966101694,0.519774011299435,0.12429378531073443,0.05084745762711862,0.1977401129943503,0.0020881073339964473,0.5779926476207004,0.5023771902507819,0.07561545736991848,0.0009138453909018723,0.15552033637145615
