Endpoint,N_paired,mean_abs_true_diff_log10,A_MAE,D_MAE,delta_MAE_A_minus_D,delta_MAE_CI95_lo,delta_MAE_CI95_hi,wilcoxon_p_abs_err,A_RMSE,D_RMSE,delta_RMSE_A_minus_D,delta_MSE_A_minus_D,delta_MSE_CI95_lo,delta_MSE_CI95_hi,A_GMFE,D_GMFE,A_FE<2,D_FE<2,delta_FE<2_A_minus_D,delta_FE<2_CI95_lo,delta_FE<2_CI95_hi,mcnemar_p_FE<2,A_R2,D_R2,delta_R2_A_minus_D,delta_R2_CI95_lo,delta_R2_CI95_hi
CL,177,0.0,0.2996823712108703,0.3145743112498829,-0.014891940039012563,-0.04277374717582213,0.012764621761811893,0.22741635521962458,0.40881823760205427,0.4248491980956246,-0.016030960493570334,-0.013364489726445578,-0.039594344647341885,0.011923108906496352,1.9938035788279387,2.0633566938951313,0.6497175141242938,0.615819209039548,0.03389830508474578,-0.03389830508474578,0.10169491525423735,0.40503224614076316,0.5050807489213767,0.46550526762639655,0.03957548129498012,-0.03760149259915975,0.1201409294938286
VDss,177,0.0,0.2793331075477148,0.2804536621384883,-0.001120554590773537,-0.01838935422217567,0.016862331032244524,0.8044744038113142,0.35905526812510474,0.3649665199219605,-0.005911251796855754,-0.004279875095555913,-0.019846570724976472,0.010567393867387006,1.9025369824203036,1.907452193955089,0.6440677966101694,0.5932203389830508,0.05084745762711862,-0.005649717514124353,0.11299435028248594,0.14961278438568115,0.5779926476207004,0.5639829582552842,0.014009689365416134,-0.03702523034472357,0.06531816597536548
