PUBCHEM_CID,SMILES,lgCL,lgVD,lgFu,CL_train_test,VD_train_test,Fu_train_test
1234,CN(CCCC(C#N)(C(C)C)C1C=C(OC)C(OC)=C(C=1)OC)CCC1C=CC(OC)=C(C=1)OC,,,-1.0,,,train
1287,OC1C=C2OC(C(CC2=C(O)C=1)OC(=O)C1C=C(O)C(O)=C(O)C=1)C1C=C(O)C(O)=C(O)C=1,,,-1.055517318,,,train
1345,CCC(C)N(C)C(=O)C1=CC2C=CC=CC=2C(=N1)C1=CC=CC=C1Cl,,,-1.792177551,,,test
1355,Clc1cccc(N2CCNCC2)c1,-0.436518915,0.397940009,,train,train,
1480,OC(=O)COC1C=C(Cl)C(Cl)=CC=1Cl,,,-1.896196279,,,train
1486,OC(=O)COC1C=CC(Cl)=CC=1Cl,,,-1.38695141,,,train
1489,OC(=O)CCCOC1=CC=C(Cl)C=C1Cl,,,-2.116007775,,,train
1493,[O-][N+](=O)C1C=C(C=CC=1O)[N+]([O-])=O,,,-1.56501616,,,test
1546,NC1=NC(Cl)=NC2=C1N=CN2C1CC(O)C(CO)O1,,,-0.0275066,,,train
1593,CC(C)(O)CCCC(C)C1CCC2C(CCCC12C)=CC=C1CC(O)CCC1=C,,,-0.698970004,,,test
1615,CC(CC1C=CC2OCOC=2C=1)NC,,,-0.455931962,,,train
1645,NC(=O)c1cccc(N)c1,-0.324221658,0.278753601,,train,train,
1676,CCCn1c(=O)[nH]c(=O)c2nc[nH]c21,-0.619788758,-0.200659451,-0.37135275,test,test,test
1727,Nc1ccncc1,-0.253365801,0.414973348,,train,train,
1732,CC1C=C(O)C=CC=1Cl,,,-1.140861703,,,train
1744,CC1CCCC(C)(C)C=1C=CC(C)=CC=CC(C)=CC(=O)NC1C=CC(O)=CC=1,,,-2.721246399,,,train
1775,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,-1.653647026,-0.366531544,-1.0,train,train,train
1805,NC1=NC(=O)N(C=N1)C1OC(CO)C(O)C1O,,,-0.004364803,,,test
1923,OC1=CC=CC2=CC=CN=C21,,,-0.926645015,,,train
1935,Nc1c2c(nc3ccccc13)CCCC2,0.526339277,1.041392685,-0.346787486,train,train,train
1971,NC1N=C2C(N=CN2C2CC(CO)C=C2)=C(NC2CC2)N=1,,,-0.301029996,,,train
1973,NC1N=CN=C2N=C(C=C(C2=1)C1=CC(Br)=CC=C1)C1=CN=C(C=C1)N1CCOCC1,,,-1.46470588,,,train
1978,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,-0.22184875,0.230448921,-0.13076828,test,test,test
1981,CC1=C(CC(=O)OCC(O)=O)C2=CC(=CC=C2N1C(=O)C1C=CC(Cl)=CC=1)OC,,,-1.0,,,train
1982,COP(=O)(NC(C)=O)SC,,,-0.061282438,,,train
1983,CC(=O)Nc1ccc(O)cc1,-0.522878745,0.0,-0.055517328,train,train,train
1986,CC(=O)Nc1nnc(S(N)(=O)=O)s1,-1.408935393,-0.431798276,-1.221848753,train,train,train
1988,CC1=CC=CC(CC)=C1N(COCC)C(=O)CCl,,,-0.804515477,,,train
1989,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,,,-0.602059991,,,train
1997,CC(=O)OC1CC(OC(C)C1O)OC1C(O)CC(OC1C)OC1C(O)CC(OC2CCC3(C)C4CCC5(C)C(CCC5(O)C4CCC3C2)C2COC(=O)C=2)OC1C,,,-0.698970004,,,train
2021,CC1CC(=O)C2(O)OC3C(OC2O1)C(O)C(NC)C(O)C3NC,,,-0.022276397,,,train
2078,COCN(C(=O)CCl)C1C(CC)=CC=CC=1CC,,,-0.873462748,,,train
2082,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,,,-0.931481269,,,train
2083,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,-0.329754147,0.278753601,-0.045757491,train,train,train
2086,CNC(=O)ON=CC(C)(C)SC,,,-0.318017926,,,train
2087,ClC1(Cl)C2(Cl)C3C4CC(C=C4)C3C1(Cl)C(Cl)=C2Cl,,,-1.872963349,,,train
2088,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,-0.765916795,-0.397940009,-0.677780716,train,train,train
2092,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,-0.450996738,0.176091259,-0.93930216,train,train,train
2099,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,-0.282329497,0.041392685,-0.638272164,test,test,test
2118,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,-1.35261703,-0.096910013,-0.698970004,train,train,train
2119,C=CCc1ccccc1OCC(O)CNC(C)C,-0.045757491,0.505149978,-0.657577319,train,train,train
2123,CN(C)c1nc(N(C)C)nc(N(C)C)n1,,,-1.22184875,,,train
2130,NC12CC3CC(CC(C3)C1)C2,-0.540607512,0.819543936,-0.48148606,train,train,train
2131,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,,-0.624989952,,,train,
2132,NC1C(CNC2CCC(O)CC2)=CC(Br)=CC=1Br,,,-1.0,,,train
2140,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I,-0.991399828,-0.585026652,-0.010995384,train,train,train
2141,NCCCNCCSP(=O)(O)O,0.264581729,-1.045757491,-0.017728771,test,test,test
2142,NC1CC(NC(=O)C(O)CCN)C(OC2OC(CO)C(O)C(N)C2O)C(O)C1OC1OC(CN)C(O)C(O)C1O,,,-0.048176962,,,train
2145,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,,,-0.201579567,,,train
2153,Cn1c(=O)c2nc[nH]c2n(C)c1=O,-1.287350298,-0.292429824,-0.387216143,train,train,train
2154,NC1N=C(N)N=C2N=CC(CNC3C=CC(=CC=3)C(=O)NC(CCC(O)=O)C(O)=O)=NC=12,,,-0.124938737,,,test
